id,channel,is_used,module_id,booking_id,feature_id,merchant_id,request_type,requested_date,customer_login_id,txn_initiate_type,accessible_channel_id,updated_at
94,MOBILE,Y,,9J9e=d7zRE7N0kNUNay5JWtYs3EFw==,5.0,,NORMAL,"Row(member0=Timestamp('2022-03-21 05:57:02'), member1=None)",143,,2.0,2024-08-07 07:05:28.893
95,WEB,Y,,3qlZcFLwCeuWsx/90ItvTCVGo4f8w==,27.0,,NORMAL,"Row(member0=Timestamp('2022-03-24 03:36:03'), member1=None)",154,,2.0,2024-08-07 07:05:28.893
96,MOBILE,Y,,OY2NiImGgK+ISkYDrOCPNYn/CKv9w==,5.0,,NORMAL,"Row(member0=Timestamp('2022-03-24 03:56:00'), member1=None)",157,,2.0,2024-08-07 07:05:28.893
97,MOBILE,N,,3Mc6mGGpYMQdB+KGdyvMfuXUdp6rw==,4.0,1.0,NORMAL,"Row(member0=Timestamp('2022-03-25 00:59:04'), member1=None)",158,,2.0,2024-08-07 07:05:28.893
98,MOBILE,N,,nXkohxXCwZhfGbi5y++GwQecHe3jQ==,4.0,7.0,NORMAL,"Row(member0=Timestamp('2022-03-25 01:08:01'), member1=None)",158,,2.0,2024-08-07 07:05:28.893
99,WEB,Y,,T23sWcPLY+s0KVXEBV9FUys/Lk9Eg==,4.0,1.0,NORMAL,"Row(member0=Timestamp('2022-03-25 03:33:27'), member1=None)",154,,2.0,2024-08-07 07:05:28.893
100,WEB,Y,,lO7QmclNHoelbmafW866PdskiK8Lw==,4.0,1.0,NORMAL,"Row(member0=Timestamp('2022-03-25 03:36:00'), member1=None)",154,,2.0,2024-08-07 07:05:28.893
101,MOBILE,Y,,qX4QMu+/F8MzwzuciIjSsEkHheP5A==,30.0,,NORMAL,"Row(member0=Timestamp('2022-03-25 04:08:33'), member1=None)",159,,2.0,2024-08-07 07:05:28.893
102,MOBILE,Y,,3U8PbGSITgvG69CYeBjtY5+RbAJKA==,4.0,1.0,NORMAL,"Row(member0=Timestamp('2022-03-25 04:11:47'), member1=None)",159,,2.0,2024-08-07 07:05:28.893
103,MOBILE,Y,,NafYkFxhH0Be/yBEGb8OlaYGlQ3hQ==,4.0,1.0,NORMAL,"Row(member0=Timestamp('2022-03-26 00:30:03'), member1=None)",160,,2.0,2024-08-07 07:05:28.893
104,WEB,Y,,GRfhOKMHQ0/WbRByBnp0RZfrMchJg==,4.0,1.0,NORMAL,"Row(member0=Timestamp('2022-03-26 02:49:41'), member1=None)",154,,2.0,2024-08-07 07:05:28.893
105,WEB,Y,,MiquBi5xWakhFEiyD7CUpKb838AiA==,4.0,1.0,NORMAL,"Row(member0=Timestamp('2022-03-26 03:13:21'), member1=None)",158,,2.0,2024-08-07 07:05:28.893
106,MOBILE,Y,,Cm6rfQasg01fTJ0997b88wXCIQ7zQ==,4.0,1.0,NORMAL,"Row(member0=Timestamp('2022-03-26 04:12:09'), member1=None)",159,,2.0,2024-08-07 07:05:28.893
107,MOBILE,Y,,aq+Q2PrWCHlXxqpMwO0Y6XXWwBB7g==,5.0,,NORMAL,"Row(member0=Timestamp('2022-03-26 04:33:25'), member1=None)",160,,2.0,2024-08-07 07:05:28.893
108,MOBILE,Y,,rMX1njRQX/uPUag6oqB3taXPGGd/g==,30.0,,NORMAL,"Row(member0=Timestamp('2022-03-26 04:58:27'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
109,MOBILE,Y,,+TgQ0zZ4QhmEB5pbf19ioxeAzTndA==,30.0,,NORMAL,"Row(member0=Timestamp('2022-03-26 05:04:08'), member1=None)",162,,2.0,2024-08-07 07:05:28.893
110,MOBILE,N,,xZ51=a/UbiY8VlxPkYFJeMZ1cCbzg==,30.0,,NORMAL,"Row(member0=Timestamp('2022-03-26 05:44:14'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
111,MOBILE,N,,18rOHStPizWbuUKEuhqELwU6Q7PmQ==,30.0,,NORMAL,"Row(member0=Timestamp('2022-03-26 05:47:16'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
112,MOBILE,Y,,qUvOHLjp8BF8xAu/OJB94X/v7yY9A==,30.0,,NORMAL,"Row(member0=Timestamp('2022-03-26 05:50:10'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
113,MOBILE,N,,WVJxJmhawUD2HkYf02Ijb5VnckiiQ==,30.0,,NORMAL,"Row(member0=Timestamp('2022-03-26 05:59:05'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
114,MOBILE,Y,,Ytx13Xq4KQrlD6g1N56zb0IVEOeSg==,30.0,,NORMAL,"Row(member0=Timestamp('2022-03-26 05:59:23'), member1=None)",161,,2.0,2024-08-07 07:05:28.893
115,WEB,N,,v1M2NQe1hS6uWACEhyEDKJZU9cRgg==,4.0,29.0,NORMAL,"Row(member0=Timestamp('2022-03-27 01:59:25'), member1=None)",154,,2.0,2024-08-07 07:05:28.893
116,WEB,N,,TDVWdJomaAduoVO1JkjbsV9Qp8d0w==,4.0,29.0,NORMAL,"Row(member0=Timestamp('2022-03-27 02:07:39'), member1=None)",154,,2.0,2024-08-07 07:05:28.893
117,WEB,Y,,IJeeRpItjWPz9NVwGYWgo2muCfkUA==,4.0,1.0,NORMAL,"Row(member0=Timestamp('2022-03-27 02:27:34'), member1=None)",154,,2.0,2024-08-07 07:05:28.893
118,WEB,Y,,OGGkK3XJCuYObL/Q05W0boaMQ8bvA==,4.0,1.0,NORMAL,"Row(member0=Timestamp('2022-03-27 02:28:24'), member1=None)",154,,2.0,2024-08-07 07:05:28.893
119,WEB,Y,,RQDF6hRhbnDc+ng5lShGFOpDW5e5g==,4.0,1.0,NORMAL,"Row(member0=Timestamp('2022-03-27 02:33:17'), member1=None)",154,,2.0,2024-08-07 07:05:28.893
120,WEB,Y,,ATjH9H8tBNIT0cgtlV1QzEDW3HOlA==,4.0,7.0,NORMAL,"Row(member0=Timestamp('2022-03-27 02:37:10'), member1=None)",154,,2.0,2024-08-07 07:05:28.893
121,MOBILE,N,,SlfR8ClY+nA9ogHC9Bz74dW9QIX4w==,30.0,,NORMAL,"Row(member0=Timestamp('2022-03-27 03:14:28'), member1=None)",158,,2.0,2024-08-07 07:05:28.893
122,MOBILE,N,,YE7MO4H+CHbs0wWqc2ggV4q5APDOw==,4.0,1.0,NORMAL,"Row(member0=Timestamp('2022-03-27 03:53:02'), member1=None)",158,,2.0,2024-08-07 07:05:28.893
123,WEB,N,,Hqhc3CJsYt7NmfLBqHvi5Li2VFXKA==,4.0,3.0,NORMAL,"Row(member0=Timestamp('2022-03-28 00:11:19'), member1=None)",158,,2.0,2024-08-07 07:05:28.893
