cou_code,cou_iden,cou_name,cou_nati,updated_at
242,807,"Republic of Macedonia,the Former Yugoslav","Republic of Macedonia,the Former Yugoslav",2024-08-07 07:04:28.395
243,450,Madagascar,Madagascar,2024-08-07 07:04:28.395
244,454,Malawi,Malawi,2024-08-07 07:04:28.395
245,458,Malaysia,Malaysia,2024-08-07 07:04:28.395
246,462,Maldives,Maldives,2024-08-07 07:04:28.395
247,466,Mali,Mali,2024-08-07 07:04:28.395
248,470,Malta,Malta,2024-08-07 07:04:28.395
249,584,Marshall Islands,Marshall Islands,2024-08-07 07:04:28.395
250,474,Martinique,Martinique,2024-08-07 07:04:28.395
251,478,Mauritania,Mauritania,2024-08-07 07:04:28.395
252,480,Mauritius,Mauritius,2024-08-07 07:04:28.395
253,175,Mayotte,Mayotte,2024-08-07 07:04:28.395
254,484,Mexico,Mexico,2024-08-07 07:04:28.395
255,583,Micronesia,Micronesia,2024-08-07 07:04:28.395
256,498,"Republic of Moldova,","Republic of Moldova,",2024-08-07 07:04:28.395
257,492,Monaco,Monaco,2024-08-07 07:04:28.395
258,496,Mongolia,Mongolia,2024-08-07 07:04:28.395
259,536,Montenegro,Montenegro,2024-08-07 07:04:28.395
260,500,Montserrat,Montserrat,2024-08-07 07:04:28.395
261,504,Morocco,Morocco,2024-08-07 07:04:28.395
262,508,Mozambique,Mozambique,2024-08-07 07:04:28.395
263,104,Myanmar,Myanmar,2024-08-07 07:04:28.395
264,516,Namibia,Namibia,2024-08-07 07:04:28.395
265,520,Nauru,Nauru,2024-08-07 07:04:28.395
266,524,Nepal,Nepal,2024-08-07 07:04:28.395
267,528,Netherlands,Netherlands,2024-08-07 07:04:28.395
268,530,Netherlands Antilles,Netherlands Antilles,2024-08-07 07:04:28.395
269,540,New Caledonia,New Caledonia,2024-08-07 07:04:28.395
270,554,New Zealand,New Zealand,2024-08-07 07:04:28.395
271,558,Nicaragua,Nicaragua,2024-08-07 07:04:28.395
272,562,Niger,Niger,2024-08-07 07:04:28.395
273,566,Nigeria,Nigeria,2024-08-07 07:04:28.395
274,570,Niue,Niue,2024-08-07 07:04:28.395
275,574,Norfolk Is.,Norfolk Is.,2024-08-07 07:04:28.395
276,580,Northern Mariana Islands,Northern Mariana Islands,2024-08-07 07:04:28.395
277,578,Norway,Norway,2024-08-07 07:04:28.395
278,512,Oman,Oman,2024-08-07 07:04:28.395
279,586,Pakistan,Pakistan,2024-08-07 07:04:28.395
280,585,Palau,Palau,2024-08-07 07:04:28.395
281,591,Panama,Panama,2024-08-07 07:04:28.395
282,598,Papua New Guinea,Papua New Guinea,2024-08-07 07:04:28.395
283,600,Paraguay,Paraguay,2024-08-07 07:04:28.395
284,604,Peru,Peru,2024-08-07 07:04:28.395
285,608,Philippines,Philippines,2024-08-07 07:04:28.395
286,612,Pitcairn,Pitcairn,2024-08-07 07:04:28.395
287,616,Poland,Poland,2024-08-07 07:04:28.395
288,620,Portugal,Portugal,2024-08-07 07:04:28.395
289,630,Puerto Rico,Puerto Rico,2024-08-07 07:04:28.395
290,634,Qatar,Qatar,2024-08-07 07:04:28.395
291,638,Reunion,Reunion,2024-08-07 07:04:28.395
292,642,Romania,Romania,2024-08-07 07:04:28.395
293,643,Russian Federation,Russian Federation,2024-08-07 07:04:28.395
294,646,Rwanda,Rwanda,2024-08-07 07:04:28.395
295,882,Samoa,Samoa,2024-08-07 07:04:28.395
296,674,San Marino,San Marino,2024-08-07 07:04:28.395
297,678,Sao Tome and Principe,Sao Tome and Principe,2024-08-07 07:04:28.395
298,682,Saudi Arabia,Saudi Arabia,2024-08-07 07:04:28.395
299,686,Senegal,Senegal,2024-08-07 07:04:28.395
300,690,Seychelles,Seychelles,2024-08-07 07:04:28.395
301,694,Sierra Leone,Sierra Leone,2024-08-07 07:04:28.395
302,702,Singapore,Singapore,2024-08-07 07:04:28.395
303,703,Slovakia,Slovakia,2024-08-07 07:04:28.395
304,705,Slovenia,Slovenia,2024-08-07 07:04:28.395
305,90,Solomon Is.,Solomon Is.,2024-08-07 07:04:28.395
306,706,Somalia,Somalia,2024-08-07 07:04:28.395
307,710,South Africa,South Africa,2024-08-07 07:04:28.395
308,239,So. Georgia and So. Sandwich Is.,So. Georgia and So. Sandwich Is.,2024-08-07 07:04:28.395
309,724,Spain,Spain,2024-08-07 07:04:28.395
310,144,Sri Lanka,Sri Lanka,2024-08-07 07:04:28.395
311,654,St. Helena,St. Helena,2024-08-07 07:04:28.395
312,659,St. Kitts-Nevis,St. Kitts-Nevis,2024-08-07 07:04:28.395
313,662,St. Lucia,St. Lucia,2024-08-07 07:04:28.395
314,666,St. Pierre and Miquelon,St. Pierre and Miquelon,2024-08-07 07:04:28.395
315,670,St. Vincent and The Grenadines,St. Vincent and The Grenadines,2024-08-07 07:04:28.395
316,736,Sudan,Sudan,2024-08-07 07:04:28.395
317,740,Suriname,Suriname,2024-08-07 07:04:28.395
318,744,Svalbard and Jan Mayen Is.,Svalbard and Jan Mayen Is.,2024-08-07 07:04:28.395
319,748,Swaziland,Swaziland,2024-08-07 07:04:28.395
320,752,Sweden,Sweden,2024-08-07 07:04:28.395
321,756,Switzerland,Switzerland,2024-08-07 07:04:28.395
322,760,Syrian Arab Rep.,Syrian Arab Rep.,2024-08-07 07:04:28.395
323,158,Taiwan,Taiwan,2024-08-07 07:04:28.395
324,762,Tajikistan,Tajikistan,2024-08-07 07:04:28.395
325,834,"Republic of  United Tanzania,","Republic of  United Tanzania,",2024-08-07 07:04:28.395
326,764,Thailand,Thailand,2024-08-07 07:04:28.395
327,768,Togo,Togo,2024-08-07 07:04:28.395
328,772,Tokelau,Tokelau,2024-08-07 07:04:28.395
329,776,Tonga,Tonga,2024-08-07 07:04:28.395
330,780,Trinidad and Tobago,Trinidad and Tobago,2024-08-07 07:04:28.395
331,788,Tunisia,Tunisia,2024-08-07 07:04:28.395
332,792,Turkey,Turkey,2024-08-07 07:04:28.395
333,795,Turkmenistan,Turkmenistan,2024-08-07 07:04:28.395
334,796,Turks and Caicos Is.,Turks and Caicos Is.,2024-08-07 07:04:28.395
335,798,Tuvalu,Tuvalu,2024-08-07 07:04:28.395
336,800,Uganda,Uganda,2024-08-07 07:04:28.395
337,804,Ukraine,Ukraine,2024-08-07 07:04:28.395
338,784,United Arab Emirates,United Arab Emirates,2024-08-07 07:04:28.395
339,826,United Kingdom,United Kingdom,2024-08-07 07:04:28.395
340,840,United States,United States,2024-08-07 07:04:28.395
341,581,U.S. Minor Outlying Islands,U.S. Minor Outlying Islands,2024-08-07 07:04:28.395
342,850,U.S. Virgin Is.,U.S. Virgin Is.,2024-08-07 07:04:28.395
343,858,Uruguay,Uruguay,2024-08-07 07:04:28.395
344,860,Uzbekistan,Uzbekistan,2024-08-07 07:04:28.395
345,548,Vanuatu,Vanuatu,2024-08-07 07:04:28.395
346,336,Vatican City State,Vatican City State,2024-08-07 07:04:28.395
347,862,Venezuela,Venezuela,2024-08-07 07:04:28.395
348,704,Vietnam,Vietnam,2024-08-07 07:04:28.395
349,876,Wallis and Futuna Is.,Wallis and Futuna Is.,2024-08-07 07:04:28.395
350,732,Western Sahara,Western Sahara,2024-08-07 07:04:28.395
351,886,Yemen,Yemen,2024-08-07 07:04:28.395
352,900,Yugoslavia,Yugoslavia,2024-08-07 07:04:28.395
353,894,Zambia,Zambia,2024-08-07 07:04:28.395
354,716,Zimbabwe,Zimbabwe,2024-08-07 07:04:28.395
355,4,Afghanistan,Afghanistan,2024-08-07 07:04:28.395
356,8,Albania,Albania,2024-08-07 07:04:28.395
357,12,Algeria,Algeria,2024-08-07 07:04:28.395
358,16,American Samoa,American Samoa,2024-08-07 07:04:28.395
359,20,Andorra,Andorra,2024-08-07 07:04:28.395
360,24,Angola,Angola,2024-08-07 07:04:28.395
361,660,Anguilla,Anguilla,2024-08-07 07:04:28.395
362,10,Antarctica,Antarctica,2024-08-07 07:04:28.395
363,28,Antigua and Barbuda,Antigua and Barbuda,2024-08-07 07:04:28.395
364,32,Argentina,Argentina,2024-08-07 07:04:28.395
365,51,Armenia,Armenia,2024-08-07 07:04:28.395
366,533,Aruba,Aruba,2024-08-07 07:04:28.395
367,36,Australia,Australia,2024-08-07 07:04:28.395
368,40,Austria,Austria,2024-08-07 07:04:28.395
369,31,Azerbaijan,Azerbaijan,2024-08-07 07:04:28.395
370,44,Bahamas,Bahamas,2024-08-07 07:04:28.395
371,48,Bahrain,Bahrain,2024-08-07 07:04:28.395
372,50,Bangladesh,Bangladesh,2024-08-07 07:04:28.395
373,52,Barbados,Barbados,2024-08-07 07:04:28.395
374,112,Belarus,Belarus,2024-08-07 07:04:28.395
375,56,Belgium,Belgium,2024-08-07 07:04:28.395
376,84,Belize,Belize,2024-08-07 07:04:28.395
377,204,Benin,Benin,2024-08-07 07:04:28.395
378,60,Bermuda,Bermuda,2024-08-07 07:04:28.395
379,64,Bhutan,Bhutan,2024-08-07 07:04:28.395
380,68,Bolivia,Bolivia,2024-08-07 07:04:28.395
381,70,Bosnia and Herzegovina,Bosnia and Herzegovina,2024-08-07 07:04:28.395
382,72,Botswana,Botswana,2024-08-07 07:04:28.395
383,74,Bouvet Is.,Bouvet Is.,2024-08-07 07:04:28.395
384,76,Brazil,Brazil,2024-08-07 07:04:28.395
385,86,British Indian Ocean Territory,British Indian Ocean Territory,2024-08-07 07:04:28.395
386,92,British Virgin ls.,British Virgin ls.,2024-08-07 07:04:28.395
387,96,Brunei Darussalam,Brunei Darussalam,2024-08-07 07:04:28.395
388,100,Bulgaria,Bulgaria,2024-08-07 07:04:28.395
389,854,Burkina Faso,Burkina Faso,2024-08-07 07:04:28.395
390,108,Burundi,Burundi,2024-08-07 07:04:28.395
391,116,Cambodia,Cambodia,2024-08-07 07:04:28.395
392,120,"Republic of United Cameroon,","Republic of United Cameroon,",2024-08-07 07:04:28.395
393,124,Canada,Canada,2024-08-07 07:04:28.395
394,132,Cape Verde Is.,Cape Verde Is.,2024-08-07 07:04:28.395
395,136,Cayman Is.,Cayman Is.,2024-08-07 07:04:28.395
396,140,Central African Republic,Central African Republic,2024-08-07 07:04:28.395
397,148,Chad,Chad,2024-08-07 07:04:28.395
398,152,Chile,Chile,2024-08-07 07:04:28.395
399,156,China,China,2024-08-07 07:04:28.395
400,162,Christmas Is.,Christmas Is.,2024-08-07 07:04:28.395
401,166,Cocos (Keeling) Is.,Cocos (Keeling) Is.,2024-08-07 07:04:28.395
402,170,Colombia,Colombia,2024-08-07 07:04:28.395
403,174,Comoros,Comoros,2024-08-07 07:04:28.395
404,178,Congo,Congo,2024-08-07 07:04:28.395
405,184,Cook Is.,Cook Is.,2024-08-07 07:04:28.395
406,188,Costa Rica,Costa Rica,2024-08-07 07:04:28.395
407,384,Ivory Coast,Ivory Coast,2024-08-07 07:04:28.395
408,191,Croatia,Croatia,2024-08-07 07:04:28.395
409,192,Cuba,Cuba,2024-08-07 07:04:28.395
410,196,Cyprus,Cyprus,2024-08-07 07:04:28.395
411,203,Czech Republic,Czech Republic,2024-08-07 07:04:28.395
412,180,Democratic Republic of the Congo (Zaire),Democratic Republic of the Congo (Zaire),2024-08-07 07:04:28.395
413,208,Denmark,Denmark,2024-08-07 07:04:28.395
414,262,Djibouti,Djibouti,2024-08-07 07:04:28.395
415,212,Dominica,Dominica,2024-08-07 07:04:28.395
416,214,Dominican Rep.,Dominican Rep.,2024-08-07 07:04:28.395
417,626,East Timor,East Timor,2024-08-07 07:04:28.395
418,218,Ecuador,Ecuador,2024-08-07 07:04:28.395
419,818,Egypt,Egypt,2024-08-07 07:04:28.395
420,222,El Salvador,El Salvador,2024-08-07 07:04:28.395
421,226,Equatorial Guinea,Equatorial Guinea,2024-08-07 07:04:28.395
422,232,Eritrea,Eritrea,2024-08-07 07:04:28.395
423,233,Estonia,Estonia,2024-08-07 07:04:28.395
424,230,Ethiopia,Ethiopia,2024-08-07 07:04:28.395
425,234,Faeroe Is.,Faeroe Is.,2024-08-07 07:04:28.395
426,238,Falkland Is.(Malvinas),(Malvinas) Falkland Is.,2024-08-07 07:04:28.395
427,242,Fiji,Fiji,2024-08-07 07:04:28.395
428,246,Finland,Finland,2024-08-07 07:04:28.395
429,250,France,France,2024-08-07 07:04:28.395
430,249,"France, Metropolitan","France, Metropolitan",2024-08-07 07:04:28.395
431,254,French Guiana,French Guiana,2024-08-07 07:04:28.395
432,258,French Polynesia,French Polynesia,2024-08-07 07:04:28.395
433,260,French Southern Territory,French Southern Territory,2024-08-07 07:04:28.395
434,266,Gabon,Gabon,2024-08-07 07:04:28.395
435,270,Gambia,Gambia,2024-08-07 07:04:28.395
436,268,Georgia,Georgia,2024-08-07 07:04:28.395
437,280,Germany,Germany,2024-08-07 07:04:28.395
438,288,Ghana,Ghana,2024-08-07 07:04:28.395
439,292,Gibraltar,Gibraltar,2024-08-07 07:04:28.395
440,300,Greece,Greece,2024-08-07 07:04:28.395
441,304,Greenland,Greenland,2024-08-07 07:04:28.395
442,308,Grenada,Grenada,2024-08-07 07:04:28.395
443,312,Guadeloupe,Guadeloupe,2024-08-07 07:04:28.395
444,316,Guam,Guam,2024-08-07 07:04:28.395
445,320,Guatemala,Guatemala,2024-08-07 07:04:28.395
446,324,Guinea,Guinea,2024-08-07 07:04:28.395
447,624,Guinea?Bissau,Guinea?Bissau,2024-08-07 07:04:28.395
448,328,Guyana,Guyana,2024-08-07 07:04:28.395
449,332,Haiti,Haiti,2024-08-07 07:04:28.395
450,334,Heard and McDonald Is.,Heard and McDonald Is.,2024-08-07 07:04:28.395
451,340,Honduras,Honduras,2024-08-07 07:04:28.395
452,344,"Hong Kong,China","Hong Kong,China",2024-08-07 07:04:28.395
453,348,Hungary,Hungary,2024-08-07 07:04:28.395
454,352,Iceland,Iceland,2024-08-07 07:04:28.395
455,356,India,India,2024-08-07 07:04:28.395
456,360,Indonesia,Indonesia,2024-08-07 07:04:28.395
457,364,"Republic of Iran, Islamic","Republic of Iran, Islamic",2024-08-07 07:04:28.395
458,368,Iraq,Iraq,2024-08-07 07:04:28.395
459,376,UNKWON,UNKWON,2024-08-07 07:04:28.395
460,380,Italy,Italy,2024-08-07 07:04:28.395
461,388,Jamaica,Jamaica,2024-08-07 07:04:28.395
462,392,Japan,Japan,2024-08-07 07:04:28.395
463,400,Jordan,Jordan,2024-08-07 07:04:28.395
464,398,Kazakhstan,Kazakhstan,2024-08-07 07:04:28.395
465,404,Kenya,Kenya,2024-08-07 07:04:28.395
466,296,Kiribati,Kiribati,2024-08-07 07:04:28.395
467,408,"Republic of Korea,Democratic People?s (North Korea)","Republic of Korea,Democratic People?s (North Korea)",2024-08-07 07:04:28.395
468,410,"Republic of Korea,","Republic of Korea,",2024-08-07 07:04:28.395
469,414,Kuwait,Kuweiti,2024-08-07 07:04:28.395
470,417,Kyrgyzstan,Kyrgyzstan,2024-08-07 07:04:28.395
471,418,Democratic Republic Lao People?s,Democratic Republic Lao People?s,2024-08-07 07:04:28.395
472,428,Latvia,Latvia,2024-08-07 07:04:28.395
473,422,Lebanon,Lebanon,2024-08-07 07:04:28.395
474,426,Lesotho,Lesotho,2024-08-07 07:04:28.395
475,430,Liberia,Liberia,2024-08-07 07:04:28.395
476,434,Libya,Libya,2024-08-07 07:04:28.395
477,438,Liechtenstein,Liechtenstein,2024-08-07 07:04:28.395
478,440,Lithuania,Lithuania,2024-08-07 07:04:28.395
479,442,Luxembourg,Luxembourg,2024-08-07 07:04:28.395
480,446,"Special Administrative Region of Macau, China","Special Administrative Region of Macau, China",2024-08-07 07:04:28.395
481,372,Ireland,Ireland,2024-08-07 07:04:28.395
801,275,Palestine,Palestinian,2024-08-07 07:04:28.395
1621,499,Montenegro,Montenegro,2024-08-07 07:04:28.395
1641,531,Curacao,Curacao,2024-08-07 07:04:28.395
1661,534,Sint Maarten (Dutch Part),Sint Maarten (Dutch Part),2024-08-07 07:04:28.395
1681,535,"Bonaire, St. Eustatius and Saba","Bonaire, St. Eustatius and Saba",2024-08-07 07:04:28.395
1701,688,Serbia,Serbia,2024-08-07 07:04:28.395
1721,728,Republic of South Sudan,Republic of South Sudan,2024-08-07 07:04:28.395
2001,276,XXXXXXXXXXX,XXXXXXXXXX,2024-08-07 07:04:28.395
2021,887,XXXXXXXXXXX,XXXXXXXXXX,2024-08-07 07:04:28.395
2401,77,UGVUFRKCF,JYTCVGFCG,2024-08-07 07:04:28.395
