tco_code,tco_labe,tco_ewallet,tco_vtc_code,tco_cent_sign,tco_chld_sign,tco_merc_sign,tco_revo_flag,tco_pre_paid_flag,tco_acqu_bank_sign,tco_issu_bank_sign,updated_at
1000,Express Replacement Fee,Y,,N,D,,A,,D,,2024-08-07 07:05:16.809
1900,Premium fee,N,10.0,,D,,N,N,,,2024-08-07 07:05:16.809
5000,Purchase,N,5.0,N,D,C,A,A,N,N,2024-08-07 07:05:16.809
5001,Financial Transaction without Cash,N,5.0,,D,C,A,A,,,2024-08-07 07:05:16.809
5002,Unique Transaction,N,5.0,N,D,C,A,A,N,N,2024-08-07 07:05:16.809
5003,Emi FC Normal transaction,N,5.0,,D,C,A,N,,,2024-08-07 07:05:16.809
6000,Credit Voucher,N,6.0,,C,D,A,A,,,2024-08-07 07:05:16.809
7000,Cash Disbursement(ATM),N,7.0,,D,C,A,A,,,2024-08-07 07:05:16.809
7001,Cash Advance (POS),N,7.0,,D,C,A,A,,,2024-08-07 07:05:16.809
7002,Cash Advance(Manual),N,7.0,,D,C,A,A,,,2024-08-07 07:05:16.809
7003,Cash Back,N,7.0,,D,C,A,A,,,2024-08-07 07:05:16.809
7004,Quasi Cash,N,7.0,,D,C,A,A,,,2024-08-07 07:05:16.809
7005,Funds Disbursement,N,7.0,,D,C,A,A,,,2024-08-07 07:05:16.809
7006,Cash Out,Y,7.0,,D,C,A,A,,,2024-08-07 07:05:16.809
7007,SALARY WITHDRAWAL (POS),N,7.0,,D,C,A,A,,,2024-08-07 07:05:16.809
7011,WS DEBIT CREDIT,N,7.0,,D,C,A,A,,,2024-08-07 07:05:16.809
10000,GENERAL PURPOSE FEE DEBIT,N,10.0,,D,,A,A,,,2024-08-07 07:05:16.809
10001,Fees Collection : Center Commission,N,10.0,,,,N,,,,2024-08-07 07:05:16.809
10002,Bank Commission Fee,N,10.0,,,,A,,,,2024-08-07 07:05:16.809
10003,Cash Advance Fee,N,10.0,,D,,A,A,,C,2024-08-07 07:05:16.809
10004,Merchant Commission Debit,B,10.0,,,D,A,A,,,2024-08-07 07:05:16.809
10005,Fees Collection : Interchange Fees Acquirer to Issuer,N,,,,,,,,,2024-08-07 07:05:16.809
10006,Fees Collection : Interchange Fees Issuer To Acquirer,N,,,,,,,,,2024-08-07 07:05:16.809
10007,Cash Advance Fee Refund,N,,,C,,A,,,,2024-08-07 07:05:16.809
10008,Fees Collection : Merchant Commission Credit,B,,,,C,,,,,2024-08-07 07:05:16.809
10010,UG Test - Bictoin Processing Fee,N,,,D,,A,,,,2024-08-07 07:05:16.809
10020,Credit Application Fee,N,10.0,,D,,A,N,,,2024-08-07 07:05:16.809
10021,Rev Airline Cash Back,N,10.0,,D,,N,N,,,2024-08-07 07:05:16.809
10022,Adjustment Fee,N,10.0,,D,,A,A,,,2024-08-07 07:05:16.809
10023,Currency conversion Fee,N,10.0,,D,,A,A,,,2024-08-07 07:05:16.809
10024,Variation Fee,N,10.0,,D,,A,,,,2024-08-07 07:05:16.809
10100,CARD JOINING FEE,N,10.0,,D,,A,A,,,2024-08-07 07:05:16.809
10101,CARD REPLACEMENT FEE,N,10.0,,D,,A,A,,,2024-08-07 07:05:16.809
10102,PIN CALCULATION FEE,N,10.0,,D,,A,A,,,2024-08-07 07:05:16.809
10103,CARD RENEW FEE,N,10.0,,D,,A,A,,,2024-08-07 07:05:16.809
10104,CARD INSURANCE FEE,N,10.0,,D,,N,A,,,2024-08-07 07:05:16.809
10105,CARD MISCELLANEOUS FEE,N,10.0,,D,,N,A,,,2024-08-07 07:05:16.809
10106,CARD ANNUAL FEE,N,10.0,,D,,A,A,,,2024-08-07 07:05:16.809
10107,Fees Collection : Pre-Paid Card Initial Load Fee,N,10.0,,D,,N,A,,,2024-08-07 07:05:16.809
10108,Fees Collection : Pre-Paid Card Reload Fee,N,10.0,,D,,N,A,,,2024-08-07 07:05:16.809
10109,Fees Collection : Pre-Paid Card redemption Fee,N,10.0,,D,,N,A,,,2024-08-07 07:05:16.809
10110,Fees Collection : Pre-Paid Card Overline Fee,N,10.0,,D,,N,A,,,2024-08-07 07:05:16.809
10111,Fees Collection : Pre-Paid Card Inactivity Fee,N,10.0,,D,,N,A,,,2024-08-07 07:05:16.809
10112,Fees Collection : Pre-Paid Card Returned Debit Fee,N,10.0,,D,,N,A,,,2024-08-07 07:05:16.809
10113,Fees Collection : Pre-Paid Card Link Fee,N,10.0,,D,,N,A,,,2024-08-07 07:05:16.809
10114,Miscellaneous Debit,N,10.0,,D,,A,,,,2024-08-07 07:05:16.809
10115,Change Limit Fee,N,10.0,,D,,A,,,,2024-08-07 07:05:16.809
10116,CARD INACTIVE FEE,N,10.0,,D,,A,A,,,2024-08-07 07:05:16.809
10117,Pin Clear Request Fees,N,10.0,,D,,A,A,,,2024-08-07 07:05:16.809
10118,Instant Fee,N,10.0,,D,,A,A,,,2024-08-07 07:05:16.809
10119,EMI Request Fees,N,10.0,,D,,A,A,,C,2024-08-07 07:05:16.809
10120,Late Payment Fee,N,10.0,,D,,A,N,,,2024-08-07 07:05:16.809
10121,CREDIT UNPAID TERM FEE,N,10.0,,D,,A,N,,,2024-08-07 07:05:16.809
10122,OVERLINE FEE,N,10.0,,D,,A,N,,,2024-08-07 07:05:16.809
10123,Fees Collection : Credit Insurance Fee,N,10.0,,D,,N,N,,,2024-08-07 07:05:16.809
10124,CREDIT MISCELLANEOUS FEE,N,10.0,,D,,N,N,,,2024-08-07 07:05:16.809
10125,CREDIT MISCELLANEOUS TRANS.  FEE,N,10.0,,D,,N,N,,,2024-08-07 07:05:16.809
10126,CREDIT ADMINISTRATIVE STATUS FEE,N,10.0,,D,,A,N,,,2024-08-07 07:05:16.809
10127,DOCUMENT DEPOSIT FEE,N,10.0,,D,,N,A,,,2024-08-07 07:05:16.809
10128,Misused,N,10.0,,D,,A,N,,,2024-08-07 07:05:16.809
10129,DHL Charge,N,10.0,,D,,A,N,,,2024-08-07 07:05:16.809
10130,Card Reported Lost,N,10.0,,D,,A,N,,,2024-08-07 07:05:16.809
10131,Interest Fees (Suspicious Fee),N,10.0,,D,,A,N,,,2024-08-07 07:05:16.809
10132,Card eCom Fee,N,10.0,,D,,A,A,,,2024-08-07 07:05:16.809
10218,Check Deposit Fee,N,10.0,,D,,N,A,,,2024-08-07 07:05:16.809
10219,Authentication Request Fee,N,10.0,,D,,N,A,,,2024-08-07 07:05:16.809
10220,Balance Inquiry Fee,N,10.0,,D,,A,A,,,2024-08-07 07:05:16.809
10221,Address Verification Fee,N,10.0,,D,,A,A,,,2024-08-07 07:05:16.809
10222,Telecode Verification Fee,N,10.0,,D,,N,A,,,2024-08-07 07:05:16.809
10223,RIB Request Fee,N,10.0,,D,,N,A,,,2024-08-07 07:05:16.809
10224,Account List Fee,N,10.0,,D,,A,A,,,2024-08-07 07:05:16.809
10225,ATM Statement Fee,N,10.0,,D,,A,A,,,2024-08-07 07:05:16.809
10226,Statement Request Fee,N,10.0,,D,,A,A,,,2024-08-07 07:05:16.809
10227,Short Statement Request Fee,N,10.0,,D,,A,A,,,2024-08-07 07:05:16.809
10228,Checkbook Request Fee,N,10.0,,D,,N,A,,,2024-08-07 07:05:16.809
10229,Account Transfer Fee,N,10.0,,D,,N,A,,,2024-08-07 07:05:16.809
10230,Account Verification (ePay) Fee,N,10.0,,D,,,A,,,2024-08-07 07:05:16.809
10231,PIN Change Request Fee,N,10.0,,D,,A,A,,,2024-08-07 07:05:16.809
10232,Loan Request Fee,N,10.0,,D,,,A,,,2024-08-07 07:05:16.809
10233,Fees Collection : Guarrantee Check Fee,N,10.0,,D,,N,A,,,2024-08-07 07:05:16.809
10234,Periodical Fee - TI225 -,N,,,D,,A,,,,2024-08-07 07:05:16.809
10235,Fees Collection : Express Delivery Fee,N,10.0,,D,,A,A,,C,2024-08-07 07:05:16.809
10236,Fees Collection : New Design Fee,N,10.0,,D,,Y,Y,,C,2024-08-07 07:05:16.809
10237,Fees Collection : Withdrawal commission,N,10.0,,D,,A,A,,,2024-08-07 07:05:16.809
10238,Merchant Application Fees,N,,N,,D,N,N,C,N,2024-08-07 07:05:16.809
10239,Merchant Membership Fees,N,,N,,D,N,N,C,N,2024-08-07 07:05:16.809
10240,Merchant Misc. Periodical Fees,N,,N,,D,N,N,C,N,2024-08-07 07:05:16.809
10244,AirPort Lounge Subscription,N,,,D,,A,,,,2024-08-07 07:05:16.809
10250,Salary Inquiry Fee,N,10.0,,D,,A,A,,,2024-08-07 07:05:16.809
10251,ATM Cardless Transaction,N,10.0,,D,,A,A,,,2024-08-07 07:05:16.809
10254,Travel Benefit Subscription,N,,,D,,A,,,,2024-08-07 07:05:16.809
10260,LTF Cancellation Fee,N,,,D,,A,,,,2024-08-07 07:05:16.809
10261,Reprint Statement Fee,N,,,D,,A,,,,2024-08-07 07:05:16.809
10300,Cardholder Establishment Fee,N,,,D,,A,N,,,2024-08-07 07:05:16.809
10301,Merchant Establishment Fee,N,10.0,,,D,A,N,,,2024-08-07 07:05:16.809
10302,Long Term Finance Cancel Fee,N,,,,D,,,,,2024-08-07 07:05:16.809
