rate,bg_amt,sol_id,ts_cnt,bank_id,bene_br,bg_type,br_code,cust_id,bg_b2kid,bg_class,event_id,pin_code,advn_acid,bank_code,bene_bank,bg_status,city_code,cntr_rate,dt_of_adv,func_code,lchg_time,oper_acid,paysys_id,rate_code,rcre_time,amend_rmks,appl_rules,bg_srl_num,charges_to,close_date,cntry_code,crncy_code,fb_ref_num,fd_ref_num,free_code1,free_code2,free_code3,fwc_sol_id,issue_date,limit_pcnt,nma_key_id,remit_mode,state_code,bg_liab_amt,cntr_bg_ind,invocn_date,limit_b2kid,payable_amt,tran_sol_id,amend_status,bg_adeq_type,bg_perd_days,bg_perd_mths,coll_br_code,counter_rmks,lchg_user_id,nma_key_type,org_recd_flg,rcre_user_id,reference_no,sla_category,transit_perd,bg_carved_amt,coll_corrs_br,dtls_of_chrgs,fin_limit_amt,inw_dc_b2k_id,num_of_amends,purpose_of_bg,recv_corrs_br,reversal_date,bg_expiry_date,cntr_rate_code,coll_bank_code,contingent_amt,cont_liab_acid,effective_date,entity_cre_flg,exp_party_code,invocn_cr_acid,local_corrs_br,reference_date,rmks_for_amend,appl_rules_desc,auto_renew_date,bg_ch_base_rate,bg_ch_oper_rate,bg_mr_base_rate,bg_mr_oper_rate,claim_perd_days,claim_perd_mths,cntr_bg_srl_num,coll_corrs_bank,counter_bg_dtls,fin_limit_crncy,fructified_liab,min_margin_pcnt,recv_corrs_bank,beneficiary_name,beneficiary_type,intend_to_export,local_corrs_bank,other_party_code,claim_expiry_date,final_expiry_date,invocn_lodge_date,invocn_value_date,num_of_int_amends,paysys_free_code1,paysys_free_code2,paysys_free_code3,paysys_free_code4,paysys_free_code5,amend_initiated_by,beneficiary_addr_1,beneficiary_addr_2,date_of_amendissue,import_license_num,instlmnt_freq_type,instlmnt_hldy_stat,limit_id_mandatory,payment_value_date,claim_payable_by_us,purchase_account_id,auto_renew_freq_type,auto_renew_hldy_stat,bg_ch_base_rate_code,bg_ch_oper_rate_code,bg_mr_base_rate_code,bg_mr_oper_rate_code,chrg_calc_value_date,internal_limits_reqd,ovdue_chrg_coll_upto,place_lodgemnt_claim,actual_date_of_shpmnt,auto_renew_next_cycle,contingent_crncy_code,cont_liab_contra_acid,instlmnt_freq_start_dd,instlmnt_freq_week_day,instlmnt_freq_week_num,internal_limit_upd_flg,auto_renew_freq_week_dd,probable_date_of_shpmnt,auto_renew_freq_cal_base,auto_renew_freq_week_day,auto_renew_freq_week_num,forward_contract_ref_num,mtmd_margin_referred_flg,auto_renew_applicable_flg,import_license_expiry_date,islamic_payable_account_id,updated_at
1,200000.0,01,3,1,,BOABB,, 01001079,DC09168,,BGCHARGESBB,,,,,Z,,,,R,2009-10-06T10:37:11,0113590,,SEL,2009-10-05T10:28:08,,NONE,0109BB01000019,A,2009-10-06T00:00:00.000000,,NPR,,,,,,,2009-06-07T00:00:00.000000,0,DC09168,,,0.0,N,,DC1529,,01,,,0,0,,,SUNNYM,1001079.0,,ANUSHAK,,,0,,,,,,0,,,2009-10-06T00:00:00.000000,2009-10-04T00:00:00.000000,,,0.0,013016,2009-06-07T00:00:00.000000,Y,,012255,,,,,,0,0,0,0,0,0,,,,,0,,,DISTRICT DEVELOPMENT COMITTE OFFICE,G,,,,2009-10-04T00:00:00.000000,,,,,,,,,,,ARGHAKHACHI,,,,,,,,,,,,,,,,,,,,,,NPR,013021,0,0,,,,,,,,,N,N,,,2024-08-07 06:42:00.068
1,5000000.0,01,7,1,,BOAAG,, 01001079,DC0896,,BGCHARGES,,,,,Z,,,,R,2009-12-29T17:07:44,0126075,,SEL,2009-12-29T16:35:26,,NONE,0108AG01000002,A,2009-12-29T00:00:00.000000,,NPR,,,,,,,2008-12-17T00:00:00.000000,0,DC0896,,,0.0,N,,DC1529,,01,,,29,11,,,SUNNYM,1001079.0,,ANUSHAK,,,0,,,,,,4,,,2009-12-29T00:00:00.000000,2009-12-15T00:00:00.000000,,,0.0,013016,2008-12-17T00:00:00.000000,Y,,012255,,,,,,0,0,0,0,0,0,,,,,0,,,DIVISION ROAD OFFICE,O,,,,2009-12-15T00:00:00.000000,,,,,,,,,,,LAHAN,,,,,,,,,,,,,,,,,,,,,,NPR,013021,0,0,,,,,,,,,N,N,,,2024-08-07 06:42:00.068
1,200000.0,01,3,1,,BOABB,, 01001079,DC09169,,BGCHARGESBB,,,,,Z,,,,Z,2010-02-24T10:52:54,0113590,,SEL,2010-02-24T10:46:44,,NONE,0109BB01000020,A,2010-02-24T00:00:00.000000,,NPR,,,,,,,2009-06-07T00:00:00.000000,0,DC09169,,,0.0,N,,DC1529,,01,,,0,4,,,SUNNYM,1001079.0,,ANUSHAK,,,0,,,,,,0,,,2009-10-07T00:00:00.000000,2009-10-06T00:00:00.000000,,,0.0,013016,2009-06-07T00:00:00.000000,Y,,012255,,,,,,0,0,0,0,0,0,,,,,0,,,DISTRICT DEVELOPMENT COMITTE OFFICE,G,,,,2009-10-06T00:00:00.000000,,,,,,,,,,,ARGHACHANCHI,,,,,,,,,,,,,,,,,,,,,,NPR,013021,0,0,,,,,,,,,N,N,,,2024-08-07 06:42:00.068
1,125000.0,01,3,1,,BOABB,, 01001079,DC10294,BBG,BGCHARGESBB,,,,,Z,,,,R,2010-04-04T11:34:24,0113590,,SEL,2010-04-04T09:51:11,,NONE,0110BB01000001,A,2010-04-04T00:00:00.000000,,NPR,,,,,,,2010-01-03T00:00:00.000000,0,DC10294,,,0.0,N,,DC1529,,01,,,0,3,,,RAJESHR,1001079.0,,ANUSHAK,,,0,,,,,,0,,,2010-04-04T00:00:00.000000,2010-04-02T00:00:00.000000,,,0.0,013016,2010-01-03T00:00:00.000000,Y,,012255,,,,,,0,0,0,0,0,0,,,,,0,,,DEPARTMENT OF ROADS,O,,,,2010-04-02T00:00:00.000000,,,,,,,,,,,DHORPATAN,,,,,,,,,,,,,,,,,,,,,,NPR,013021,0,0,,,,,,,,,N,N,,,2024-08-07 06:42:00.068
1,125000.0,01,3,1,,BOABB,, 01001079,DC10295,BBG,BGCHARGESBB,,,,,Z,,,,R,2010-04-04T11:36:07,0113590,,SEL,2010-04-04T09:51:37,,NONE,0110BB01000002,A,2010-04-04T00:00:00.000000,,NPR,,,,,,,2010-01-03T00:00:00.000000,0,DC10295,,,0.0,N,,DC1529,,01,,,0,3,,,RAJESHR,1001079.0,,ANUSHAK,,,0,,,,,,0,,,2010-04-04T00:00:00.000000,2010-04-02T00:00:00.000000,,,0.0,013016,2010-01-03T00:00:00.000000,Y,,012255,,,,,,0,0,0,0,0,0,,,,,0,,,DEPARTMENT OF ROADS,O,,,,2010-04-02T00:00:00.000000,,,,,,,,,,,ARGHAKHANCHI,,,,,,,,,,,,,,,,,,,,,,NPR,013021,0,0,,,,,,,,,N,N,,,2024-08-07 06:42:00.068
1,125000.0,01,3,1,,BOABB,, 01001079,DC10296,BBG,BGCHARGESBB,,,,,Z,,,,R,2010-04-04T11:44:40,0113590,,SEL,2010-04-04T09:52:01,,NONE,0110BB01000003,A,2010-04-04T00:00:00.000000,,NPR,,,,,,,2010-01-03T00:00:00.000000,0,DC10296,,,0.0,N,,DC1529,,01,,,0,3,,,RAJESHR,1001079.0,,ANUSHAK,,,0,,,,,,0,,,2010-04-04T00:00:00.000000,2010-04-02T00:00:00.000000,,,0.0,013016,2010-01-03T00:00:00.000000,Y,,012255,,,,,,0,0,0,0,0,0,,,,,0,,,DEPARTMENT OF ROADS,O,,,,2010-04-02T00:00:00.000000,,,,,,,,,,,ARGHAKHANCHI,,,,,,,,,,,,,,,,,,,,,,NPR,013021,0,0,,,,,,,,,N,N,,,2024-08-07 06:42:00.068
1,2500000.0,01,1,1,,BOAPG,, 01001079,DC09222,PBG,BGCHARGESPER,,,,,O,,,,M,2010-08-03T17:45:34,0113590,,SEL,2009-08-04T16:31:01,,NONE,0109PG01000013,A,,,NPR,,,,,,,2009-08-04T00:00:00.000000,0,DC09222,,,2500000.0,N,,DC1529,,01,,,0,12,,,BPD3,1001079.0,,SUNNYM,,,0,,,,,,0,,,,2010-08-03T00:00:00.000000,,,2500000.0,013016,2009-08-04T00:00:00.000000,Y,,012255,,,,,,0,0,0,0,0,0,,,,,0,,,DISTRICT DEVELOPMENT COMMITTE,G,,,,2010-08-03T00:00:00.000000,,,,,,,,,,,KAPILBASTU,,,,,,,,,,,,,,,,,,,,,,NPR,013021,0,0,,,,,,,,,N,N,,,2024-08-07 06:42:00.068
1,200000.0,01,3,1,,BOABB,, 01001079,DC10337,BBG,BGCHARGESBB,,,,,Z,,,,R,2010-11-02T17:06:03,0113590,,SEL,2010-11-02T16:30:20,,NONE,0110BB01000010,A,2010-11-02T00:00:00.000000,,NPR,,,,,,,2010-03-28T00:00:00.000000,0,DC10337,,,0.0,N,,DC1529,,01,,,5,7,,,RAJESHR,1001079.0,,ANUSHAK,,,0,,,,,,0,,,2010-11-02T00:00:00.000000,2010-11-01T00:00:00.000000,,,0.0,013016,2010-03-28T00:00:00.000000,Y,,012255,,,,,,0,0,0,0,0,0,,,,,0,,,DHARAN CHATARA GAIGHAT KATARI,O,,,,2010-11-01T00:00:00.000000,,,,,,,,,,,HETUADA MAKAWANPUR,,,,,,,,,,,,,,,,,,,,,,NPR,013021,0,0,,,,,,,,,N,N,,,2024-08-07 06:42:00.068
1,1000000.0,01,3,1,,BOAPG,, 01001079,DC09258,,BGCHARGESPER,,,,,Z,,,,R,2010-11-09T15:10:05,0113590,,SEL,2010-11-09T10:46:34,,NONE,0109PG01000017,A,2010-11-09T00:00:00.000000,,NPR,,,,,,,2009-11-05T00:00:00.000000,0,DC09258,,,0.0,N,,DC1529,,01,,,0,12,,,SUNNYM,1001079.0,,ANUSHAK,,,0,,,,,,0,TO PURCHASE SPARE PARTS ON CREDIT BASIS,,2010-11-09T00:00:00.000000,2010-11-04T00:00:00.000000,,,0.0,013016,2009-11-05T00:00:00.000000,Y,,012255,,,,,,0,0,0,0,0,0,,,,,0,,,SIPRADI AUTO PARTS PVT. LTD.,O,,,,2010-11-04T00:00:00.000000,,,,,,,,,,,"KALANKI, KATHMANDU, NEPAL",,,,,,,,,,,,,,,,,,,,,,NPR,013021,0,0,,,,,,,,,N,N,,,2024-08-07 06:42:00.068
1,100000.0,19,2,1,,BOABB,, 19041342,DC10567,BBG,BGCHARGBUS,,,,,Z,,,,R,2011-01-12T13:49:12,19110702,,SEL,2011-01-12T11:45:08,,NONE,1910BB01000001,A,2011-01-12T00:00:00.000000,,NPR,,,,,,,2010-10-13T00:00:00.000000,0,DC10567,,,0.0,N,,DC6497,,19,,,30,2,,,SUNNYM,19041342.0,,ANUSHAK,,,0,,,,,,0,BID FOR GOLD & SILVER,,2011-01-12T00:00:00.000000,2011-01-11T00:00:00.000000,,,0.0,19137438,2010-10-13T00:00:00.000000,Y,,1959956,,,,,,0,0,0,0,0,0,,,,,0,,,NEPAL RASTRA BANK,G,,,,2011-01-11T00:00:00.000000,,,,,,,,,,,BALUWATAR KATHMANDU,,,,,,,,,,,,,,,,,,,,,,NPR,19136673,0,0,,,,,,,,,N,N,,,2024-08-07 06:42:00.068
