rate,sol_id,ts_cnt,bank_id,del_flg,dc_b2kid,insu_amt,insu_num,ratecode,date_clsd,date_opnd,func_code,insu_pcnt,lchg_time,paysys_id,rcre_time,reimb_ind,revoc_flg,tenor_ind,dc_ref_num,dc_text_id,fd_ref_num,free_text1,free_text2,free_text3,free_text4,fwc_sol_id,limit_pcnt,num_reinst,open_value,payable_at,policy_num,reinst_day,tenor_desc,actl_usance,benef_chrgs,dc_reg_type,expiry_date,policy_date,premium_amt,reinst_type,tran_sol_id,appl_ref_num,available_by,deferred_flg,due_date_ind,insu_company,lchg_user_id,licence_code,ovr_drwn_flg,rcre_user_id,stand_by_flg,advance_value,adv_charg_ind,bill_lodg_amt,cntry_valid_1,cntry_valid_2,confirmed_flg,cont_liab_amt,current_value,dc_carved_amt,dc_const_acid,dc_reinst_amt,inw_dc_b2k_id,party_entered,applicant_name,appl_bank_code,available_with,cntry_origin_1,cntry_origin_2,commodity_code,confirmed_pcnt,dc_contra_acid,drawee_details,entity_cre_flg,insured_by_ind,issu_bank_code,last_ship_date,num_amendments,our_party_acid,pc_margin_pcnt,port_of_destin,port_of_origin,red_clause_flg,reinst_remarks,shipment_terms,actl_agent_code,actl_crncy_code,actl_negot_days,applicable_rule,auto_reinst_flg,chrg_ref_code_1,chrg_ref_code_2,chrg_ref_code_3,cont_liab_crncy,extend_conf_flg,interest_detail,islamic_subtype,issu_party_code,min_margin_pcnt,negot_bank_code,nostro_acct_num,place_of_destin,place_of_expiry,place_of_origin,policy_exp_date,pre_adviced_flg,pre_adviced_ref,purch_order_num,reimb_bank_code,tenor_defer_ind,transferee_code,appl_branch_code,benef_party_code,confirmed_by_ind,dc_bill_util_amt,dc_int_avail_amt,dc_tol_avail_amt,drawee_bank_code,foreign_loan_flg,frwrd_cntrct_num,intend_to_export,issu_branch_code,partshipment_flg,pre_adviced_date,purch_order_date,transhipment_flg,actl_dc_chrg_code,advthru_bank_code,agency_commn_pcnt,avlwith_bank_code,capital_adeq_code,confirm_charg_ind,corresp_bank_code,country_of_expiry,dc_bill_fruct_amt,final_expiry_date,house_airways_flg,issu_bank_ref_num,is_entity_islamic,negative_tol_pcnt,negot_branch_code,open_ended_dc_flg,outside_charg_ind,payment_details_1,payment_details_2,payment_details_3,payment_details_4,paysys_free_code1,paysys_free_code2,paysys_free_code3,paysys_free_code4,paysys_free_code5,reimb_branch_code,revolve_freq_type,tot_confirmed_amt,usance_tenor_days,actl_revolving_flg,advising_bank_code,dc_nobill_util_amt,drawee_branch_code,firstadv_bank_code,limit_id_mandatory,other_bank_ref_num,preadvice_cont_flg,actl_max_num_reinst,actl_tolerance_pcnt,advthru_branch_code,applicable_rule_sub,autoreimb_claim_flg,avail_confirmed_amt,avlwith_branch_code,capital_goods_trans,comm_details_text_1,comm_details_text_2,comm_details_text_3,comm_details_text_4,corresp_branch_code,dc_nobill_fruct_amt,interest_addtnl_amt,murabaha_party_code,other_bank_ref_date,reinst_usance_tenor,shipment_terms_desc,transfer_dc_ref_num,usance_tenor_months,advising_branch_code,firstadv_branch_code,interest_addtnl_rate,internal_expiry_date,internal_limits_reqd,actl_back_to_back_flg,advthru_bank_location,coll_auto_reins_chrgs,confirmation_reqd_flg,dc_gen_liab_trans_flg,drawn_on_oth_bank_flg,notification_receiver,our_party_limit_b2kid,purch_order_amend_num,reimb_applicable_rule,revolve_freq_cal_base,revolve_freq_start_dd,revolve_freq_week_day,revolve_freq_week_num,revolve_next_due_date,actl_transferrable_flg,cavrved_tolerance_pcnt,interest_bill_lodg_amt,interest_bill_util_amt,internal_limit_upd_flg,licence_details_text_1,licence_details_text_2,licence_details_text_3,licence_details_text_4,purch_order_amend_date,revolve_freq_hldy_stat,actl_follower_mode_code,actl_shipment_mode_code,auto_renewal_next_cycle,back_to_back_dc_ref_num,interest_bill_fruct_amt,actl_establish_mode_code,interest_nobill_util_amt,interest_reinstament_amt,mtmd_margin_referred_flg,murbaha_third_party_acid,restrict_on_oth_bank_flg,upft_reinst_liab_revl_dc,interest_nobill_fruct_amt,carved_interest_addtnl_amt,goods_for_third_party_flag,updated_at
79.2,4,14,1,N,DC09468,0,,SEL,2010-09-15T00:00:00.000000,2009-01-25T00:00:00.000000,Z,0,2010-10-31T17:00:41,,2009-01-25T18:39:39,N,2,S,0409IM0200001,DC09468,,,,,,,0,0,8910.0,,,0,,0,,IMLCF,2009-04-14T00:00:00.000000,,0,,4,,N,N,G,,SUNNYM,,,SUPRIYAT,,0,,8910.0,,,,0.0,0.0,0,48528,0,,,SUGAM ROJIN TERPINTINE & HERBAL PVT.LTD,,ANY BANK ININDIA,,,COMDT54243,,48605,,Y,,BOAN,2009-03-24T00:00:00.000000,0,424553,0,,,N,,FOB,,USD,21,UCP,,,,,USD,,,,4006533,,,,,INDIA,,,N,,,,,,,,,8910.0,,,,,,,4,N,,,Y,DCCHARGES,,0,,,,,IN,0,,N,,N,0.0,,,O,,,,,,,,,,,,,0,N,BOAN,0.0,,,,,,0,0.0,,,,,,,SILENT DG GENSET,,,,,0.0,0,,,,DELHI,,0,04,,0,,,N,,,N,,,,DC1896,0,,,,,,,N,,,,,,,,,,,,ROAD,,,,,,,,,,,,,,2024-08-07 06:42:13.991
79.2,4,14,1,N,DC09469,0,,SEL,2010-09-15T00:00:00.000000,2009-01-25T00:00:00.000000,Z,0,2010-10-31T17:00:45,,2009-01-25T18:45:14,N,2,S,0409IM0200002,DC09469,,,,,,,0,0,15970.0,,,0,,0,,IMLCF,2009-04-14T00:00:00.000000,,0,,4,,N,N,G,,SUNNYM,,,SUPRIYAT,,0,,15970.0,,,,0.0,0.0,0,48528,0,,,SUGAM ROJIN TERPINTINE & HERBAL PVT.LTD,,ANY BANK IN INDIA,,,COMDT54243,,48605,,Y,,BOAN,2009-03-24T00:00:00.000000,0,424553,0,,,N,,FOB,,USD,21,UCP,,,,,USD,,,,4006533,,,,,INDIA,,,N,,,,,,,,,15970.0,,,,,,,4,N,,,Y,DCCHARGES,,0,,,,,IN,0,,N,,N,0.0,,,O,,,,,,,,,,,,,0,N,BOAN,0.0,,,,,,0,0.0,,,,,,,SILENT DG SET,,,,,0.0,0,,,,DELHI,,0,04,,0,,,N,,,N,,,,DC1896,0,,,,,,,N,,,,,,,,,,,,ROAD,,,,,,,,,,,,,,2024-08-07 06:42:13.991
1.6015,4,13,1,N,DC101348,0,,SEL,,2010-06-23T00:00:00.000000,S,0,2010-11-19T13:46:06,,2010-06-23T12:17:09,N,2,S,0410IM1100001,DC101348,,,,,,,0,0,755000.0,,,0,,0,,IMLCF,2010-12-20T00:00:00.000000,,0,,4,,N,N,G,,SUNNYM,,,ANUSHAK,,0,,755000.0,,,,0.0,755000.0,0,48526,0,,,SUGAM ROSIN TERPINTINE & HERBAL PVT.LTD,,ANY BANK IN INDIA,,,COMDT54243,,48603,,Y,,BOAN,2010-12-05T00:00:00.000000,1,424553,0,,,N,,EXW,,INR,15,UCP,,,,,INR,,,,4006533,,,,,INDIA,,,N,,,,,,,,A,755000.0,,,,,,,4,N,,,Y,DCCHARGES,,0,,,,,IN,0,,N,,N,0.0,,,O,,,,,,,,,,,,,0,N,BOAN,0.0,,,,,,0,0.0,,,,,,,COMPLETE WEIGHING MACHINE,"TOTAL QTY:1 SET, H.S. 8423.89.00","TOTAL AMOUNT: INR 755,000.00",,,0.0,0,,,,KOLKATA,,0,04,,0,,,N,,,Y,,,,DC1896,0,,,,,,,N,,,,,,,,,,,,ROAD,,,,,,,,,,,,,,2024-08-07 06:42:13.991
1.6015,2,21,1,N,DC132767,0,,SEL,,2013-07-03T00:00:00.000000,S,0,2013-09-25T15:52:19,,2013-07-03T16:08:09,N,2,S,0213IM1100005,DC132767,,,,,,,0,0,4481568.0,,,0,,0,,IMLCF,2013-08-20T00:00:00.000000,,0,,2,,N,N,G,,SATISHRS,,,ABHISHEKS,,0,,4481568.0,,,,0.0,4481568.0,0,24896,0,,,RAJAT KNITWEARS,,ANY BANK IN INDIA,,,COMDT54243,,24919,,Y,,BOAN,2013-08-05T00:00:00.000000,0,2559106,0,BIRATNAGAR,,N,,EXW,,INR,15,UCP,,,,,INR,,,,2103112,,,,,INDIA,,,N,,,,,,,,A,4481568.0,,,,,,,2,Y,,,Y,LCCOMBUSST,,0,,,,,IN,0,,N,,N,5.0,,,O,,,,,,,,,,,,,0,N,BOAN,224078.4,,,,,,0,5.0,,,,,,,COTTON CARDED YARN,"TOTAL AMT: INR 4,481,568.00",TOTAL QTY: 23507.20 KGS,HARMONIC CODE: 52051310,,0.0,0,,,,HANSI,,0,02,,0,,,N,,,Y,,,,DC13997,0,,,,,,,N,,,,,,,,,,,,ROAD,,,,,,,,,,,,,,2024-08-07 06:42:13.991
1.6015,2,8,1,N,DC133113,0,,SEL,,2013-09-01T00:00:00.000000,S,0,2013-10-27T13:57:06,,2013-09-01T17:11:05,N,2,S,0213IM1100022,DC133113,,,,,,,0,0,2035000.0,,,0,,0,,ILFSC,2013-10-21T00:00:00.000000,,0,,2,,N,N,G,,CD0122,,,SA0371,,0,,2035000.0,,,,0.0,2035000.0,0,24896,0,,,RAJAT KNITWEARS,,ANY BANK,,,COMDT54243,,24919,,Y,,BOAN,2013-09-30T00:00:00.000000,0,2559106,0,BIRATNAGAR CUSTOMS OFFICE,,N,,EXW,,INR,21,UCP,,,,,INR,,,,2103112,,,,,INDIA,,,N,,,,,,,,A,2035000.0,,,,,,,2,Y,,,Y,DCCHARGES,,0,,,,,IN,0,,N,,N,0.0,,,O,,,,,,,,,,,,,0,N,BOAN,0.0,,,,,,0,0.0,,,,,,,NE 20/1 COTTON/VISCOSE MALANGE YARN,QTY 8000 KGS,"HARMONIC CODE 5205.22.90, 5205.23.90",,,0.0,0,,,,DERABASSI,,0,02,,0,,,N,,,Y,,,,DC13997,0,,,,,,,N,,,,,,,,,,,,ROAD,,,,,,,,,,,,,,2024-08-07 06:42:13.991
1.6015,2,13,1,N,DC133080,0,,SEL,,2013-08-23T00:00:00.000000,S,0,2013-10-31T17:13:41,,2013-08-23T16:21:38,N,2,S,0213IM1100021,DC133080,,,,,,,0,0,4481568.0,,,0,,0,,IMLCF,2013-10-15T00:00:00.000000,,0,,2,,N,N,G,,SATISHRS,,,ABHISHEKS,,0,,4481568.0,,,,0.0,4481568.0,0,24896,0,,,RAJAT KNITWEARS,,ANY BANK IN INDIA,,,COMDT54243,,24919,,Y,,BOAN,2013-09-30T00:00:00.000000,0,2559106,0,,,N,,EXW,,INR,15,UCP,,,,,INR,,,,2103112,,,,,INDIA,,,N,,,,,,,,A,4481568.0,,,,,,,2,Y,,,Y,LCCOMBUSST,,0,,,,,IN,0,,N,,N,0.0,,,O,,,,,,,,,,,,,0,N,BOAN,0.0,,,,,,0,0.0,,,,,,,COTTON CARDED YARN,"TOTAL AMT: INR 4,481,568.00",TOTAL QTY:  380.00 KGS,"HARMOIC CODE: 5205.13.10, 5205.12.10",,0.0,0,,,,"HANSI, INDIA",,0,02,,0,,,N,,,Y,,,,DC13997,0,,,,,,,N,,,,,,,,,,,,ROAD,,,,,,,,,,,,,,2024-08-07 06:42:13.991
1.6015,2,21,1,N,DC132827,0,,SEL,,2013-07-17T00:00:00.000000,S,0,2013-11-11T14:00:03,,2013-07-17T16:56:33,N,2,S,0213IM1100006,DC132827,,,,,,,0,0,4481568.0,,,0,,0,,IMLCF,2013-10-15T00:00:00.000000,,0,,2,,N,N,G,,SATISHRS,,,PRADHUMNAN,,0,,4470335.2,,,,0.0,4481568.0,0,24896,0,,,RAJAT KNITWEARS,,ANY BANK IN INDIA,,,COMDT54243,,24919,,Y,,BOAN,2013-09-30T00:00:00.000000,1,2559106,0,BIRATNAGAR CUSTOMS OFFICE,,N,,EXW,,INR,15,UCP,,,,,INR,,,,2103112,,,,,INDIA,,,N,,,,,,,,,4470335.2,,,,,,,2,Y,,,Y,LCCOMBUSST,,0,,,,,IN,0,,N,,N,5.0,,,O,,,,,,,,,,,,,0,N,BOAN,235311.2,,,,,,0,5.0,,,,,,,100% COTTON CARDED YARN FOR KNITTING,HS CODE:5205.13.10,"TOTAL QTY: 23,587.20","TOTAL AMT.: INR 4,481,568.00 (+/-5%)",,0.0,0,,,,"HANSI, INDIA",,0,02,,0,,,N,,,N,,,,DC13997,0,,,,,,,N,,,,,,,,,,,,ROAD,,,,,,,,,,,,,,2024-08-07 06:42:13.991
1.6015,2,12,1,N,DC133222,0,,SEL,,2013-09-20T00:00:00.000000,S,0,2013-11-11T14:00:35,,2013-09-20T15:55:48,N,2,S,0213IM1100029,DC133222,,,,,,,0,0,2436000.0,,,0,,0,,ILFSC,2013-10-20T00:00:00.000000,,0,,2,,N,N,G,,SATISHRS,,,ABHISHEKS,,0,,2436000.0,,,,0.0,2436000.0,0,24896,0,,,RAJAT KNITWEARS,,ANY BANK IN INDIA,,,COMDT54243,,24919,,Y,,BOAN,2013-10-05T00:00:00.000000,0,2559106,0,BIRATNAGAR CUSTOMS,,N,,EXW,,INR,15,UCP,,,,,INR,,,,2103112,,,,,INDIA,,,N,,,,,,,,A,2436000.0,,,,,,,2,Y,,,Y,DCCHARGES,,0,,,,,IN,0,,N,,N,10.0,,,O,,,,,,,,,,,,,0,N,BOAN,243600.0,,,,,,0,10.0,,,,,,,COTTON CARDED RAW WHITE YARN,"TOTAL AMT: INR 2,436,000.00 (+-10%)",TOTAL QTY: 12000 KGS,HARMONIC CODE: 5025.13.10,,0.0,0,,,,"MILI-BADDI, INDIA",,0,02,,0,,,N,,,Y,,,,DC13997,0,,,,,,,N,,,,,,,,,,,,ROAD,,,,,,,,,,,,,,2024-08-07 06:42:13.991
1.6015,2,12,1,N,DC133141,0,,SEL,,2013-09-04T00:00:00.000000,S,0,2013-11-24T15:38:15,,2013-09-04T17:34:39,N,2,S,0213IM1100025,DC133141,,,,,,,0,0,4599504.0,,,0,,0,,IMLCF,2013-11-15T00:00:00.000000,,0,,2,,N,N,G,,SATISHRS,,,ABHISHEKS,,0,,4599504.0,,,,0.0,4599504.0,0,24896,0,,,RAJAT KNITWEARS,,ANY BANK IN INDIA,,,COMDT54243,,24919,,Y,,BOAN,2013-10-31T00:00:00.000000,1,2559106,0,BIRATNAGAR CUSTOMS,,N,,EXW,,INR,15,UCP,,,,,INR,,,,2103112,,,,,INDIA,,,N,,,,,,,,A,4599504.0,,,,,,,2,Y,,,Y,LCCOMBUSST,,0,,,,,IN,0,,N,,N,0.0,,,O,,,,,,,,,,,,,0,N,BOAN,0.0,,,,,,0,0.0,,,,,,,COTTON CARDED YARN,"TOTAL AMT: INR 4,599,504.00",TOTAL QTY: 23587.20,HARMONIC CODE: 52051310,,0.0,0,,,,"HANSI, INDIA",,0,02,,0,,,N,,,Y,,,,DC13997,0,,,,,,,N,,,,,,,,,,,,ROAD,,,,,,,,,,,,,,2024-08-07 06:42:13.991
101.3,30,11,1,N,DC133447,0,,SEL,2013-12-12T00:00:00.000000,2013-11-15T00:00:00.000000,Z,0,2013-12-12T17:54:32,,2013-11-15T16:32:03,N,2,S,3013IM0200118,DC133447,,,,,,,0,0,16546.2,,,0,,0,,ILFSC,2013-12-26T00:00:00.000000,,0,,30,,N,N,G,,CD0122,,,SA0371,,0,,16528.05,,,,0.0,0.0,0,30572894,0,,,LOMUS PHARMACEUTICALS PVT LTD,,ANY BANK,,,COMDT54243,,30573436,,Y,,BOAN,2013-11-25T00:00:00.000000,0,30564520,0,BIRGUNJ CUSTOMS OFFICE,,N,,FOB,,USD,31,UCP,,,,,USD,,,,30091981,,,,,INDIA,,,N,,,,,,,,,16528.05,,,,,,,30,Y,,,Y,DCCHARGES,,0,,,,,IN,0,,N,,N,0.0,,,O,,,,,,,,,,,,,0,N,BOAN,0.0,,,,,,0,0.0,,,,,,,EMPTY AMBER GALSS BOTTLES YELLOWISH,QTY:601680 PCS,HARMONIC  CODE:7010.90.00,,,0.0,0,,,,RISHRA.BAHADURGARH,,0,30,,0,,,N,,,N,,,,DC14144,0,,,,,,,N,,,,,,,,,,,,ROAD,,,,,,,,,,,,,,2024-08-07 06:42:13.991
