cur_ide,cur_code,cur_labe,cur_symb,cur_alph_code,cur_defa_numb_deci,updated_at
704,1,Viet Nam Dong,,VND,,2024-08-07 07:04:29.105
705,2,Slovenia Tolar,,SIT,,2024-08-07 07:04:29.105
706,3,Somali Shilling,,SOS,,2024-08-07 07:04:29.105
710,4,South Africa RandS,,ZAR,,2024-08-07 07:04:29.105
716,5,Zimbabwe Dollar,,ZWD,,2024-08-07 07:04:29.105
724,6,Spanish PesetaS,,ESP,,2024-08-07 07:04:29.105
736,7,Sudanese Dinar,,SDD,,2024-08-07 07:04:29.105
737,8,Sudan Airline Rate,,SDA,,2024-08-07 07:04:29.105
740,9,Surinam Guilde,,SRG,,2024-08-07 07:04:29.105
748,10,Swaziland Lilangeni,,SZL,,2024-08-07 07:04:29.105
752,11,Swedish KroneS,,SEK,,2024-08-07 07:04:29.105
756,12,Swiss FrancS,,CHF,,2024-08-07 07:04:29.105
760,13,Syrian Pound,,SYP,,2024-08-07 07:04:29.105
762,14,Tajik Ruble,,TJS,,2024-08-07 07:04:29.105
764,15,Thailand Baht,,THB,,2024-08-07 07:04:29.105
776,16,Pa?anga,,TOP,,2024-08-07 07:04:29.105
780,17,Trinidad and Tobago Dollar,,TTD,,2024-08-07 07:04:29.105
784,18,U.A.E. Dirham,,AED,,2024-08-07 07:04:29.105
788,19,Tunisian Dinar,,TND,,2024-08-07 07:04:29.105
792,20,Turkish Lira,,TRL,,2024-08-07 07:04:29.105
795,21,Turkmenistan Manat,,TMM,,2024-08-07 07:04:29.105
800,22,Uganda Shilling,,UGX,,2024-08-07 07:04:29.105
807,23,Macedonia Denar,,MKD,,2024-08-07 07:04:29.105
810,24,Russian Ruble,,RUR,,2024-08-07 07:04:29.105
818,25,Egyptian Pound,,EGP,,2024-08-07 07:04:29.105
826,26,Pound SterlingS ,,GBP,,2024-08-07 07:04:29.105
834,27,Tanzanian Shilling,,TZS,,2024-08-07 07:04:29.105
840,28,U.S. Dollar,,USD,,2024-08-07 07:04:29.105
858,29,Peso Uruguayo,,UYU,,2024-08-07 07:04:29.105
860,30,Uzbekistan Sum,,UZS,,2024-08-07 07:04:29.105
862,31,Venezuela Bolivar,,VEB,,2024-08-07 07:04:29.105
882,32,Samoa Tala,,WST,,2024-08-07 07:04:29.105
886,33,Yemeni Rial,,YER,,2024-08-07 07:04:29.105
891,34,Yugoslavian New Dinar,,YUM,,2024-08-07 07:04:29.105
894,35,Zambian Kwacha,,ZMK,,2024-08-07 07:04:29.105
901,36,New Taiwan Dollar,,TWD,,2024-08-07 07:04:29.105
950,37,CFA Franc BEAC,,XAF,,2024-08-07 07:04:29.105
951,38,E. Caribbean Dollar,,XCD,,2024-08-07 07:04:29.105
952,39,CFA Franc BCEAO,,XOF,,2024-08-07 07:04:29.105
953,40,CFP Franc,,XPF,,2024-08-07 07:04:29.105
954,41,European Currency Unit (E.C.U.),,XEU,,2024-08-07 07:04:29.105
974,42,Belarussian Ruble,,BYR,,2024-08-07 07:04:29.105
975,43,Lev,,BGN,,2024-08-07 07:04:29.105
976,44,Franc Congolais,,CDF,,2024-08-07 07:04:29.105
977,45,Bosnian Convertible Mark,,BAM,,2024-08-07 07:04:29.105
978,46,Euro,,EUR,,2024-08-07 07:04:29.105
980,47,Ukrainian Hryvnia,,UAH,,2024-08-07 07:04:29.105
981,48,Georgian Lari,,GEL,,2024-08-07 07:04:29.105
985,49,Polish New Zloty,,PLN,,2024-08-07 07:04:29.105
986,50,Brazilian Real,,BRL,,2024-08-07 07:04:29.105
009,51,MOROCCAN DIRHAMS,MAD,AFA,,2024-08-07 07:04:29.105
008,52,Lek,,ALL,,2024-08-07 07:04:29.105
012,53,Algerian Dinar,,DZD,,2024-08-07 07:04:29.105
024,54,New Kwanza,,AON,,2024-08-07 07:04:29.105
031,55,Azerbaijan Manat,,AZM,,2024-08-07 07:04:29.105
032,56,Argentine Peso,,ARS,,2024-08-07 07:04:29.105
036,57,Australian DollarS,,AUD,,2024-08-07 07:04:29.105
040,58,Austrian SchillingS,,ATS,,2024-08-07 07:04:29.105
044,59,Bahamian Dollar,,BSD,,2024-08-07 07:04:29.105
048,60,Bahraini Dinar,,BHD,,2024-08-07 07:04:29.105
050,61,Taka,,BDT,,2024-08-07 07:04:29.105
051,62,Armenian Dram,,AMD,,2024-08-07 07:04:29.105
052,63,Barbados Dollar,,BBD,,2024-08-07 07:04:29.105
056,64,Belgian FrancS,,BEF,,2024-08-07 07:04:29.105
060,65,Bermudian Dollar,,BMD,,2024-08-07 07:04:29.105
068,66,Boliviano,,BOB,,2024-08-07 07:04:29.105
070,67,Bosnian Dinar,,BAD,,2024-08-07 07:04:29.105
072,68,Pula,,BWP,,2024-08-07 07:04:29.105
084,69,Belize Dollar,,BZD,,2024-08-07 07:04:29.105
090,70,Solomon Is. Dollar,,SBD,,2024-08-07 07:04:29.105
096,71,Brunei Dollar,,BND,,2024-08-07 07:04:29.105
104,72,Myanmar Kyat,,MMK,,2024-08-07 07:04:29.105
108,73,Burundi Franc,,BIF,,2024-08-07 07:04:29.105
116,74,Riel,,KHR,,2024-08-07 07:04:29.105
124,75,Canadian DollarS,,CAD,,2024-08-07 07:04:29.105
132,76,Cape Verde Escudo,,CVE,,2024-08-07 07:04:29.105
136,77,Cayman Is. Dollar,,KYD,,2024-08-07 07:04:29.105
144,78,Sri Lanka Rupee,,LKR,,2024-08-07 07:04:29.105
152,79,Chilean Peso,,CLP,,2024-08-07 07:04:29.105
156,80,Yuan Renminbi,,CNY,,2024-08-07 07:04:29.105
170,81,Colombian Peso,,COP,,2024-08-07 07:04:29.105
174,82,Comoro Franc,,KMF,,2024-08-07 07:04:29.105
