mer_code,mer_ense,mer_iden,mer_loca,mer_token,mer_ammf_ide,mer_ban_code,mer_bra_code,mer_cit_code,mer_com_code,mer_mag_code,mer_map_code,mer_mca_code,mer_mer_code,mer_mgr_code,mer_mpr_code,mer_per_code,mer_pmg_code,mer_pmo_code,mer_pro_code,mer_slb_code,mer_visa_mvv,mer_acti_code,mer_amex_iden,mer_capi_amou,mer_chba_moun,mer_chba_year,mer_cheq_name,mer_cnss_numb,mer_comm_moun,mer_comm_year,mer_comp_type,mer_cont_numb,mer_corp_name,mer_crea_date,mer_fees_moun,mer_fees_year,mer_gene_stat,mer_grou_acco,mer_impr_numb,mer_lice_numb,mer_migs_flag,mer_pare_flag,mer_pour_moun,mer_pour_year,mer_pseu_iden,mer_requ_moun,mer_requ_year,mer_sign_date,mer_sire_numb,mer_spli_flag,mer_stat_code,mer_stat_date,mer_stat_freq,mer_stat_supp,mer_term_numb,mer_turn_moun,mer_turn_year,mer_upda_date,mer_chba_moun_g,mer_chba_year_2,mer_chba_year_3,mer_chba_year_g,mer_comm_moun_g,mer_comm_year_2,mer_comm_year_3,mer_comm_year_g,mer_fees_moun_g,mer_fees_year_2,mer_fees_year_3,mer_fees_year_g,mer_pour_moun_g,mer_pour_year_2,mer_pour_year_3,mer_pour_year_g,mer_requ_moun_g,mer_requ_year_2,mer_requ_year_3,mer_requ_year_g,mer_turn_moun_g,mer_turn_year_2,mer_turn_year_3,mer_turn_year_g,mer_acqu_inst_id,mer_card_acce_id,mer_card_acce_id2,mer_chba_year_2_g,mer_chba_year_3_g,mer_comm_year_2_g,mer_comm_year_3_g,mer_cur_code_refe,mer_defa_acc_code,mer_fees_year_2_g,mer_fees_year_3_g,mer_merchant_card,mer_pour_year_2_g,mer_pour_year_3_g,mer_requ_year_2_g,mer_requ_year_3_g,mer_stat_per_code,mer_turn_year_2_g,mer_turn_year_3_g,mer_chba_last_year,mer_comm_effe_date,mer_comm_last_year,mer_comm_regi_numb,mer_fees_last_year,mer_fisc_iden_numb,mer_last_paym_date,mer_last_stat_date,mer_pour_last_year,mer_requ_last_year,mer_turn_last_year,mer_chba_last_year_g,mer_comm_last_year_g,mer_fees_last_year_g,mer_pour_last_year_g,mer_requ_last_year_g,mer_turn_last_year_g,mer_grou_indi_f060_05,updated_at
2418661,KUMBHESHWOR NEWA NASHA PUCHA,100758145246856,KUMBESHWOR TEMPLE,,,1,5375.0,69161.0,2017761,,398501.0,1,,7641.0,66841.0,2.0,1201.0,3,,,,72.0,,,,,,,,,3,,KUMBHESHWOR NEWA NASHA PUCHA,2023-03-26T22:36:50,,,,Y,,,N,,,,,,,2023-03-26T00:00:00.000000,,,1,2023-03-26T22:36:50,P,M,1.0,,,2023-03-26T22:36:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2385839,,,,,,,,2.0,,,,2023-03-26T00:00:00.000000,,,,,,,,,,,,,,,,,2024-08-07 07:05:05.898
2419061,NIC-TEST POS -S2M,100770115241001,"KAMALADI, KATHMANDU",,,1,5425.0,68821.0,2149701,,398901.0,1,,7641.0,65241.0,2.0,1201.0,3,,,,15.0,,,,,,,,,3,,NIC-TEST POS -S2M,2023-03-27T18:46:40,,,,Y,,,N,,,,,,,2023-03-27T00:00:00.000000,,,1,2023-03-27T18:46:40,P,M,1.0,,,2023-03-27T18:46:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2387219,,,,,,,,2.0,,,,2023-03-27T00:00:00.000000,,,,,,,,,,,,,,,,,2024-08-07 07:05:05.898
2419461,FIRST AID HEALTH SOLUTION,100759125246855,"JAWALAKHEL, LALITPUR",,,1,5212.0,69161.0,2029621,,399301.0,1,,7641.0,65241.0,2.0,1201.0,3,,,,27.0,,,,,,,,,3,,FIRST AID HEALTH SOLUTION,2023-04-02T15:53:33,,,,Y,,,N,,,,,,,2023-04-02T00:00:00.000000,,,1,2023-04-02T15:53:33,P,M,1.0,,,2023-04-02T15:53:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2387279,,,,,,,,2.0,,,,2023-04-02T00:00:00.000000,,,,,,,,,,,,,,,,,2024-08-07 07:05:05.898
2419861,AARVI SUPPLIERS,100759215246925,"SATDOBATO,LALITPUR",,,1,5430.0,69161.0,2012361,,399701.0,1,,7641.0,65241.0,2.0,1201.0,3,,,,75.0,,,,,,,,,3,,AARVI SUPPLIERS,2023-04-06T16:17:09,,,,Y,,,N,,,,,,,2023-04-06T00:00:00.000000,,,1,2023-04-06T16:17:09,P,M,1.0,,,2023-04-06T16:17:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2407503,,,,,,,,2.0,,,,2023-04-06T00:00:00.000000,,,,,,,,,,,,,,,,,2024-08-07 07:05:05.898
2419881,SATLAK TRADE PRIVATE LIMITED,100756615246976,"TUSHAL,KATHMANDU",,,1,5328.0,68821.0,2049301,,399721.0,1,,7641.0,65241.0,2.0,1201.0,3,,,,25.0,,,,,,,,,3,,SATLAK TRADE PRIVATE LIMITED,2023-04-06T16:17:10,,,,Y,,,N,,,,,,,2023-04-06T00:00:00.000000,,,1,2023-04-06T16:17:10,P,M,1.0,,,2023-04-06T16:17:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2407504,,,,,,,,2.0,,,,2023-04-06T00:00:00.000000,,,,,,,,,,,,,,,,,2024-08-07 07:05:05.898
2420261,KAVERI SPICY HEAVEN PVT LTD,100758145246981,"BASUNDHARA, KATHMANDU",,,1,5354.0,68821.0,2009401,,400101.0,1,,7641.0,65241.0,2.0,1201.0,3,,,,72.0,,,,,,,,,3,9765302960.0,KAVERI SPICY HEAVEN PVT LTD,2023-04-06T17:13:12,,,,Y,,,N,,,,,,,2023-04-06T00:00:00.000000,,,1,2023-04-06T17:13:12,P,M,2.0,,,2023-04-06T17:13:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2407519,,,,,,,,2.0,,,,2023-04-06T00:00:00.000000,,,,,,,,,,,,,,,,,2024-08-07 07:05:05.898
2420661,HOTEL SETI VILA RESTAURANT LODGE AND BAR,100770115246857,"KEDARTOLE,KAILALI",,,1,5226.0,71601.0,2021301,,400501.0,1,,7641.0,65241.0,2.0,1201.0,3,,,,5.0,,,,,,,,,3,,HOTEL SETI VILA RESTAURANT LODGE AND BAR,2023-04-08T14:46:39,,,,Y,,,N,,,,,,,2023-04-08T00:00:00.000000,,,1,2023-04-08T14:46:39,P,M,1.0,,,2023-04-08T14:46:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2407559,,,,,,,,2.0,,,,2023-04-08T00:00:00.000000,,,,,,,,,,,,,,,,,2024-08-07 07:05:05.898
2420681,RUPATAL SADICHYA SUNCHADI PASAL,100759445246858,"POKHARA,KASKI",,,1,5408.0,69561.0,2017001,,400521.0,1,,,65241.0,2.0,1201.0,3,,,,2.0,,,,,,,,,3,,RUPATAL SADICHYA SUNCHADI PASAL,2023-04-08T14:46:40,,,,Y,,,N,,,,,,,2023-04-08T00:00:00.000000,,,1,2023-04-08T14:46:40,P,M,100.0,,,2023-04-08T14:46:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2407560,,,,,,,,2.0,,,,2023-04-08T00:00:00.000000,,,,,,,,,,,,,,,,,2024-08-07 07:05:05.898
2420701,CAFE DEJA BREW,100758145246859,"GONGABU ,KATHMANDU",,,1,5383.0,68821.0,2012361,,400541.0,1,,7641.0,65241.0,2.0,1201.0,3,,,,72.0,,,,,,,,,3,,CAFE DEJA BREW,2023-04-08T14:46:40,,,,Y,,,N,,,,,,,2023-04-08T00:00:00.000000,,,1,2023-04-08T14:46:40,P,M,1.0,,,2023-04-08T14:46:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2407561,,,,,,,,2.0,,,,2023-04-08T00:00:00.000000,,,,,,,,,,,,,,,,,2024-08-07 07:05:05.898
2420721,LIGHT BUDDHA TIBETAN ART,100759715246860,"BOUDDHA,KATHMANDU",,,1,5191.0,68821.0,2047101,,400561.0,1,,7641.0,65241.0,2.0,1201.0,3,,,,53.0,,,,,,,,,3,,LIGHT BUDDHA TIBETAN ART,2023-04-08T14:46:41,,,,Y,,,N,,,,,,,2023-04-08T00:00:00.000000,,,1,2023-04-08T14:46:41,P,M,1.0,,,2023-04-08T14:46:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,2407562,,,,,,,,2.0,,,,2023-04-08T00:00:00.000000,,,,,,,,,,,,,,,,,2024-08-07 07:05:05.898
