nta,area,ftxt1,ftxt2,ftxt3,ftxt4,ftxt5,ftxt6,ftxt7,ftxt8,ftxt9,cif_id,ftxt10,ra_code,ra_code2,ra_code3,fmv_value,lmod_time,rcre_time,riskgrade,used_type,group_code,model_year,stock_type,lmod_userid,plot_number,raunit_code,rcre_userid,stock_value,subgroupcode,vehicle_type,exited_or_not,property_owner,valuators_name,fmv_of_security,newused_vehicle,nature_of_charge,price_of_vehicle,type_of_security,is_self_valuation,security_coverage,value_of_security,multi_banking_code,regd_no_of_vehicle,last_valuation_date,other_security_type,is_third_party_owner,location_of_property,other_security_value,other_security_remark,stock_receivable_value,description_of_security,engine_number_of_vehicle,requirement_of_insurance,chasis_number_of_vechicle,credit_approving_authority,distress_value_of_security,updated_at
,,,,,,,,,,,DLNLEG9616432,,,,,,2018-11-10T14:28:57,2018-11-10T14:28:57,OTH,,NGRP,,,,,,PRAMILAS,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-07 06:59:40.381
,,,,A,,,,,,,DLNLEG3617689,,CB329,,,300000000.00,2018-11-10T14:28:57,2018-11-10T14:28:57,OTH,,NGRP,,,,,LACOR,PRAMILAS,,,,N,,,,,,,,,,,MB1,,,,,,,,,,,2,,MCC,,2024-08-07 06:59:40.381
,,,,,,,,,,,DLNLEG1963572,,,,,,2018-11-10T14:28:57,2018-11-10T14:28:57,OTH,,NGRP,,,,,,PRAMILAS,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-07 06:59:40.381
,,,,,,,,,,,DLNLEG7814123,,,,,,2018-11-10T14:28:57,2018-11-10T14:28:57,OTH,,NGRP,,,,,,PRAMILAS,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-07 06:59:40.381
,,,,,,,,,,,DLNLEG2961836,,,,,,2018-11-10T14:28:57,2018-11-10T14:28:57,OTH,,NGRP,,,,,,PRAMILAS,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-07 06:59:40.381
70,,,,,,,,,,,DLNLEG2738611,,CB211,,,"87,755,251.00",2018-11-10T14:28:57,2018-11-10T14:28:57,OTH,,NGRP,,,,,LACOR,PRAMILAS,,,,N,,,,,,,,,,,,,,,,,,,,,,SEC17,,SAC5,,2024-08-07 06:59:40.381
,,,,,,,,,,,DLNLEG2414278,,,,,,2018-11-10T14:28:57,2018-11-10T14:28:57,OTH,,NGRP,,,,,,PRAMILAS,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-07 06:59:40.381
70,,,,,,,,,,,DLNLEG4695976,,09,,,,2018-11-10T14:28:57,2018-11-10T14:28:57,RSK3B,,00043,,,,,LACOR,PRAMILAS,,,,N,,,,,,,,,,,MB1,,,,,,,,,,,1,,,,2024-08-07 06:59:40.381
,,,,,,,,,,,DLNLEG8620219,,,,,,2018-11-10T14:28:57,2018-11-10T14:28:57,OTH,,NGRP,,,,,,PRAMILAS,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-07 06:59:40.381
,,,,,,,,,,,DLNLEG9774773,,,,,,2018-11-10T14:28:57,2018-11-10T14:28:57,OTH,,NGRP,,,,,,PRAMILAS,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-07 06:59:40.381
