id,type,status,message,activity_date,customer_login_id,updated_at
3147,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-20 06:07:45'), member1=None)",134,2024-08-07 07:05:23.765
3148,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-20 06:15:12'), member1=None)",135,2024-08-07 07:05:23.765
3149,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-20 06:15:19'), member1=None)",135,2024-08-07 07:05:23.765
3150,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-20 06:15:29'), member1=None)",135,2024-08-07 07:05:23.765
3151,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-20 22:33:04'), member1=None)",136,2024-08-07 07:05:23.765
3152,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-20 22:58:05'), member1=None)",137,2024-08-07 07:05:23.765
3153,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-20 23:26:03'), member1=None)",135,2024-08-07 07:05:23.765
3154,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 02:47:35'), member1=None)",135,2024-08-07 07:05:23.765
3155,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 02:58:51'), member1=None)",140,2024-08-07 07:05:23.765
3156,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 03:08:26'), member1=None)",140,2024-08-07 07:05:23.765
3157,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 03:08:30'), member1=None)",142,2024-08-07 07:05:23.765
3158,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 03:08:41'), member1=None)",140,2024-08-07 07:05:23.765
3159,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 03:08:52'), member1=None)",143,2024-08-07 07:05:23.765
3160,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 03:13:11'), member1=None)",135,2024-08-07 07:05:23.765
3161,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 03:13:33'), member1=None)",135,2024-08-07 07:05:23.765
3162,LOGOUT,Y,Logged out successfully.,"Row(member0=Timestamp('2022-03-21 03:14:25'), member1=None)",135,2024-08-07 07:05:23.765
3163,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 03:15:37'), member1=None)",144,2024-08-07 07:05:23.765
3164,LOGOUT,Y,Logged out successfully.,"Row(member0=Timestamp('2022-03-21 03:15:49'), member1=None)",140,2024-08-07 07:05:23.765
3165,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 03:15:55'), member1=None)",140,2024-08-07 07:05:23.765
3166,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 03:19:12'), member1=None)",135,2024-08-07 07:05:23.765
3167,LOGOUT,Y,Logged out successfully.,"Row(member0=Timestamp('2022-03-21 03:21:02'), member1=None)",135,2024-08-07 07:05:23.765
3168,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 03:23:24'), member1=None)",144,2024-08-07 07:05:23.765
3169,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 03:24:30'), member1=None)",135,2024-08-07 07:05:23.765
3170,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 03:26:09'), member1=None)",144,2024-08-07 07:05:23.765
3171,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 03:36:52'), member1=None)",146,2024-08-07 07:05:23.765
3172,LOGIN,Y,Logged in successfully.,"Row(member0=Timestamp('2022-03-21 03:37:19'), member1=None)",135,2024-08-07 07:05:23.765
3173,LOGOUT,Y,Logged out successfully.,"Row(member0=Timestamp('2022-03-21 03:38:43'), member1=None)",135,2024-08-07 07:05:23.765
