id,active,added_by,added_date,migration_id,login_blocked,login_channel,last_login_date,request_attempt,last_modified_by,login_block_date,login_block_mode,customer_login_id,last_modified_date,login_block_remarks,accessible_channel_id,old_login_access_channel_id,updated_at
225,Y,1,"Row(member0=Timestamp('2022-03-20 06:07:12'), member1=None)",,N,,,0,,,,134,,,1,,2024-08-07 07:05:24.452
226,Y,1,"Row(member0=Timestamp('2022-03-20 06:07:12'), member1=None)",,N,,,0,,,,134,,,2,,2024-08-07 07:05:24.452
227,Y,1,"Row(member0=Timestamp('2022-03-20 06:15:00'), member1=None)",,N,,,0,,,,135,,,1,,2024-08-07 07:05:24.452
228,Y,1,"Row(member0=Timestamp('2022-03-20 06:15:00'), member1=None)",,N,,,0,,,,135,,,2,,2024-08-07 07:05:24.452
229,Y,1,"Row(member0=Timestamp('2022-03-20 22:32:36'), member1=None)",,N,,,0,,,,136,,,1,,2024-08-07 07:05:24.452
230,Y,1,"Row(member0=Timestamp('2022-03-20 22:32:36'), member1=None)",,N,,,0,,,,136,,,2,,2024-08-07 07:05:24.452
231,Y,1,"Row(member0=Timestamp('2022-03-20 22:48:10'), member1=None)",,N,,,0,,,,137,,,1,,2024-08-07 07:05:24.452
232,Y,1,"Row(member0=Timestamp('2022-03-20 22:48:10'), member1=None)",,N,,,0,,,,137,,,2,,2024-08-07 07:05:24.452
233,Y,1,"Row(member0=Timestamp('2022-03-20 22:48:10'), member1=None)",,N,,,0,,,,138,,,1,,2024-08-07 07:05:24.452
234,Y,1,"Row(member0=Timestamp('2022-03-20 22:48:10'), member1=None)",,N,,,0,,,,138,,,2,,2024-08-07 07:05:24.452
235,Y,1,"Row(member0=Timestamp('2022-03-20 22:48:10'), member1=None)",,N,,,0,,,,139,,,1,,2024-08-07 07:05:24.452
236,Y,1,"Row(member0=Timestamp('2022-03-20 22:48:10'), member1=None)",,N,,,0,,,,139,,,2,,2024-08-07 07:05:24.452
237,Y,1,"Row(member0=Timestamp('2022-03-21 02:58:38'), member1=None)",,N,,,0,,,,140,,,1,,2024-08-07 07:05:24.452
238,Y,1,"Row(member0=Timestamp('2022-03-21 02:58:38'), member1=None)",,N,,,0,,,,140,,,2,,2024-08-07 07:05:24.452
239,Y,1,"Row(member0=Timestamp('2022-03-21 03:04:06'), member1=None)",,N,,,0,4.0,,,141,"Row(member0=Timestamp('2024-01-10 11:29:16'), member1=None)",,1,,2024-08-07 07:05:24.452
240,Y,1,"Row(member0=Timestamp('2022-03-21 03:04:06'), member1=None)",,N,,,0,4.0,,,141,"Row(member0=Timestamp('2024-01-10 11:29:16'), member1=None)",,2,,2024-08-07 07:05:24.452
241,Y,1,"Row(member0=Timestamp('2022-03-21 03:07:57'), member1=None)",,N,,,0,,,,142,,,1,,2024-08-07 07:05:24.452
242,Y,1,"Row(member0=Timestamp('2022-03-21 03:07:57'), member1=None)",,N,,,0,,,,142,,,2,,2024-08-07 07:05:24.452
243,Y,1,"Row(member0=Timestamp('2022-03-21 03:08:37'), member1=None)",,N,,,0,,,,143,,,1,,2024-08-07 07:05:24.452
244,Y,1,"Row(member0=Timestamp('2022-03-21 03:08:37'), member1=None)",,N,,,0,,,,143,,,2,,2024-08-07 07:05:24.452
245,Y,1,"Row(member0=Timestamp('2022-03-21 03:15:20'), member1=None)",,N,,,0,,,,144,,,1,,2024-08-07 07:05:24.452
246,Y,1,"Row(member0=Timestamp('2022-03-21 03:15:20'), member1=None)",,N,,,0,,,,144,,,2,,2024-08-07 07:05:24.452
247,Y,1,"Row(member0=Timestamp('2022-03-21 03:35:49'), member1=None)",,N,,,0,,,,145,,,1,,2024-08-07 07:05:24.452
248,Y,1,"Row(member0=Timestamp('2022-03-21 03:35:49'), member1=None)",,N,,,0,,,,145,,,2,,2024-08-07 07:05:24.452
249,Y,1,"Row(member0=Timestamp('2022-03-21 03:35:57'), member1=None)",,N,,,0,,,,146,,,1,,2024-08-07 07:05:24.452
250,Y,1,"Row(member0=Timestamp('2022-03-21 03:35:57'), member1=None)",,N,,,0,,,,146,,,2,,2024-08-07 07:05:24.452
251,Y,1,"Row(member0=Timestamp('2022-03-21 03:47:56'), member1=None)",,N,,,0,,,,147,,,1,,2024-08-07 07:05:24.452
252,Y,1,"Row(member0=Timestamp('2022-03-21 03:47:56'), member1=None)",,N,,,0,,,,147,,,2,,2024-08-07 07:05:24.452
253,Y,1,"Row(member0=Timestamp('2022-03-21 03:55:56'), member1=None)",,N,,,1,,,,148,,,1,,2024-08-07 07:05:24.452
254,Y,1,"Row(member0=Timestamp('2022-03-21 03:55:56'), member1=None)",,N,,,0,,,,148,,,2,,2024-08-07 07:05:24.452
255,Y,1,"Row(member0=Timestamp('2022-03-21 04:14:17'), member1=None)",,N,,,0,,,,149,,,1,,2024-08-07 07:05:24.452
256,Y,1,"Row(member0=Timestamp('2022-03-21 04:14:17'), member1=None)",,N,,,0,,,,149,,,2,,2024-08-07 07:05:24.452
257,Y,1,"Row(member0=Timestamp('2022-03-21 06:06:11'), member1=None)",,N,,,0,,,,150,,,1,,2024-08-07 07:05:24.452
258,Y,1,"Row(member0=Timestamp('2022-03-21 06:06:11'), member1=None)",,N,,,0,,,,150,,,2,,2024-08-07 07:05:24.452
259,Y,1,"Row(member0=Timestamp('2022-03-23 21:51:04'), member1=None)",,N,,,0,,,,151,,,1,,2024-08-07 07:05:24.452
260,Y,1,"Row(member0=Timestamp('2022-03-23 21:51:04'), member1=None)",,N,,,0,,,,151,,,2,,2024-08-07 07:05:24.452
261,Y,1,"Row(member0=Timestamp('2022-03-23 22:36:30'), member1=None)",,N,,,0,,,,152,,,1,,2024-08-07 07:05:24.452
262,Y,1,"Row(member0=Timestamp('2022-03-23 22:36:30'), member1=None)",,N,,,0,,,,152,,,2,,2024-08-07 07:05:24.452
