_id,merchant_id,sub_merchant_id,sub_merchant_name,merchant_name,created_date,create_approve_date,created_by,approved_by,status,stage,is_default,location,address,data_synced_date,pan_number,updated_at
303964,306428,303964,KAVREPALANCHOK MEDIA PVT. LTD.,KAVREPALANCHOK MEDIA PVT. LTD.,2019-12-19T13:21:37,,,,ACTIVE,APPROVED,True,,,2024-06-02T16:48:28,PAN871468252,2024-08-15 11:30:19.858
43509,43968,43509,HIMAL DAIRY PRODUCTS PVT. LTD.,HIMAL DAIRY PRODUCTS PVT. LTD.,2020-03-04T12:59:49,,,,ACTIVE,APPROVED,True,,,2024-06-02T16:48:28,PAN931349773,2024-08-15 11:30:19.858
74646,75197,74646,SAGARMATHA CLOTHING PVT. LTD.,SAGARMATHA CLOTHING PVT. LTD.,2021-01-31T12:13:37,,,,ACTIVE,APPROVED,True,,,2024-06-02T16:48:28,PAN940651973,2024-08-15 11:30:19.858
32241,32681,32241,PATHIVARA LOGISTICS PVT. LTD.,PATHIVARA LOGISTICS PVT. LTD.,2020-02-24T15:02:41,,,,ACTIVE,APPROVED,True,,,2024-06-02T16:48:28,PAN629114031,2024-08-15 11:30:19.858
281072,283430,281072,JUMLA FOOD PRODUCTS PVT. LTD.,JUMLA FOOD PRODUCTS PVT. LTD.,2019-12-06T12:09:26,,,,ACTIVE,APPROVED,True,,,2024-06-02T16:48:28,PAN795534455,2024-08-15 11:30:19.858
333176,335777,333176,MYAGDI ENTERPRISES LTD.,MYAGDI ENTERPRISES LTD.,2021-03-30T17:27:14,,,,ACTIVE,APPROVED,True,,,2024-07-18T13:05:13,PAN903432729,2024-08-15 11:30:19.858
100632,101296,100632,MANASLU HOSPITALITY PVT. LTD.,MANASLU HOSPITALITY PVT. LTD.,2021-02-03T09:29:49,,,,ACTIVE,APPROVED,True,,,2024-06-02T16:48:28,PAN280369345,2024-08-15 11:30:19.858
8726,8650,8726,DLYTICA ACADEMY,DLYTICA ACADEMY,2019-04-25T11:39:49,,,,ACTIVE,APPROVED,True,,,2024-06-02T16:48:28,PAN200433423,2024-08-15 11:30:19.858
206331,207654,206331,SINDHUPALCHOWK MEDIA PVT. LTD.,SINDHUPALCHOWK MEDIA PVT. LTD.,2021-06-07T12:30:35,,,,ACTIVE,APPROVED,True,,,2024-07-18T13:17:08,PAN188513875,2024-08-15 11:30:19.858
151112,151985,151112,SARLAHI ENGINEERING PVT. LTD.,SARLAHI ENGINEERING PVT. LTD.,2021-02-05T11:28:13,,,,ACTIVE,APPROVED,True,,,2024-06-02T16:48:28,PAN608705773,2024-08-15 11:30:19.858
