acid,ts_cnt,bank_id,del_flg,disb_ind,due_date,lchg_time,rcre_time,acct_status,delink_acid,health_code,notice_days,sticky_date,ecgc_dr_acid,ext_due_date,lchg_user_id,lm_link_stat,rcre_user_id,rpc_acct_flg,rt_sweep_flg,ecgc_appl_flg,entity_cre_flg,loss_carry_fwd,net_profit_rate,acct_status_date,prev_acct_status,last_aod_aos_date,last_lf_calc_date,lst_ecgc_cal_date,max_alwd_advn_lim,acct_crfile_ref_id,collection_officer,lf_chrg_pend_lines,total_project_cost,adj_for_closure_flg,acct_cls_reason_code,collect_excess_profit,internal_limit_upd_flg,unadj_profit_carry_fwd,wrk_capital_tenor_mths,adj_order_for_carry_fwd,next_dorm_chrg_calc_date,next_inact_chrg_calc_date,updated_at
AC38144236,2,1,N,,,2010-04-12T18:03:44,2009-03-29T14:14:55,A,,NORMA,,,,,AMITS,,SUSHMITAB,,,N,Y,,,2009-03-29T00:00:00.000000,,,,,0.0,CFOL/TRP/09/308,,0,,,,,,,,,,,2024-08-07 06:42:03.096
AC64084929,0,1,N,M,,2010-06-23T12:37:27,2010-06-23T12:37:27,A,,NORMA,,,,,AMITS,,AMITS,Y,,N,Y,,,2010-06-23T00:00:00.000000,,,,,15000000.0,CFOL/TR/10/604,,0,,,,,,,,,,,2024-08-07 06:42:03.096
AC61873521,0,1,N,M,,2011-01-14T16:33:57,2011-01-14T16:33:57,A,,NORMA,,,,,SAGARM,,SAGARM,Y,,N,Y,,,2011-01-14T00:00:00.000000,,,,,3500000.0,CFOL/TR/11/110,,0,,,,,,,,,,,2024-08-07 06:42:03.096
AC94868407,0,1,N,,,2011-05-16T12:20:21,2011-05-16T12:20:21,A,,NORMA,,,,,KAUSHILAG,,KAUSHILAG,,,N,Y,,,2011-05-16T00:00:00.000000,,,,,0.0,,,0,,,,,,,,,,,2024-08-07 06:42:03.096
AC71083420,0,1,N,M,,2011-10-17T21:15:37,2011-10-17T21:15:37,A,,NORMA,,,,,MANC,,MANC,Y,,N,Y,,,2011-10-17T00:00:00.000000,,,,,8000000.0,CFOL/TR/11,,0,,,,,,,,,,,2024-08-07 06:42:03.096
AC81592335,2,1,N,,,2012-04-12T19:05:08,2011-06-06T17:40:04,A,,NORMA,,,,,MANC,,PRATINAP,,,N,Y,,,2011-06-06T00:00:00.000000,,,,,11900000.0,CFOL/TR/11/693,,0,,,,,,,,,,,2024-08-07 06:42:03.096
AC37378141,0,1,N,,,2013-06-26T17:45:25,2013-06-26T17:45:25,D,,NORMA,,,,,SYSTEM,,SYSTEM,,,,Y,,,2012-11-02T00:00:00.000000,,,,,0.0,,,0,,,,,,,,,,,2024-08-07 06:42:03.096
AC47205635,0,1,N,,,2013-06-26T18:18:25,2013-06-26T18:18:25,D,,NORMA,,,,,SYSTEM,,SYSTEM,,,,Y,,,2008-03-31T00:00:00.000000,,,,,0.0,,,0,,,,,,,,,,,2024-08-07 06:42:03.096
AC68790479,8,1,N,M,,2013-09-20T10:44:54,2009-02-26T14:32:58,A,,NORMA,,,,,SAGARM,,PUJANB,Y,,N,Y,,,2009-02-26T00:00:00.000000,,,,,54000000.0,CFOL/TRP/09/047,,0,,,,,,,,,,,2024-08-07 06:42:03.096
AC86014435,0,1,N,,,2014-02-11T18:06:03,2014-02-11T18:06:03,A,,NORMA,,,,,TIRTHAN,,TIRTHAN,,,N,Y,,,2014-02-11T00:00:00.000000,,,,,0.0,,,0,,,,,,,,,,,2024-08-07 06:42:03.096
AC20563707,1,1,N,,,2015-08-30T12:15:29,2013-06-26T17:42:40,A,,NORMA,,,,,SANDESHB,,SYSTEM,,,,Y,,,2015-08-30T00:00:00.000000,,,,,0.0,,,0,,,,,,,,,,,2024-08-07 06:42:03.096
AC18935596,0,1,N,,,2017-09-20T16:35:21,2017-09-20T16:35:21,A,,NORMA,,,,,TJ1830,,TJ1830,,,N,Y,,,2017-09-20T00:00:00.000000,,,,,0.0,,,0,,,,,,,,,,,2024-08-07 06:42:03.096
AC29378633,1,1,N,,,2018-06-06T00:03:02,2009-12-03T14:19:45,D,,NORMA,,,,,FINADM,,REJINAK,,,N,Y,,,2018-06-05T00:00:00.000000,,,,,0.0,,,0,,,,,,,,,,,2024-08-07 06:42:03.096
AC59734928,1,1,N,,,2018-06-06T00:30:58,2017-01-13T12:28:46,D,,NORMA,,,,,FINADM,,PR1323,,,N,Y,,,2018-06-05T00:00:00.000000,,,,,0.0,,,0,,,,,,,,,,,2024-08-07 06:42:03.096
AC22706136,2,1,N,,,2018-06-06T01:18:25,2013-06-26T18:18:06,D,,NORMA,,,,,FINADM,,SYSTEM,,,,Y,,,2018-06-05T00:00:00.000000,,,,,0.0,,,0,,,,,,,,,,,2024-08-07 06:42:03.096
AC93998064,1,1,N,,,2018-06-06T01:49:55,2013-06-26T18:14:08,D,,NORMA,,,,,FINADM,,SYSTEM,,,,Y,,,2018-06-05T00:00:00.000000,,,,,0.0,,,0,,,,,,,,,,,2024-08-07 06:42:03.096
AC53875380,4,1,N,,,2018-06-07T00:34:00.000000,2010-03-12T13:16:27,D,,NORMA,,,,,FINADM,,DEEPAKS,,,N,Y,,,2018-06-06T00:00:00.000000,,,,,0.0,09/1891,,0,,,,,,,,,,,2024-08-07 06:42:03.096
AC55575076,13,1,N,,,2018-06-07T00:34:28,2012-03-30T13:38:19,D,,NORMA,,,,,FINADM,,SUJITAK,,,N,Y,,,2018-06-06T00:00:00.000000,,,,,0.0,CFOL/7292,,0,,,,,,,,,,,2024-08-07 06:42:03.096
AC31039937,1,1,N, ,,2019-02-07T12:05:41,2019-02-07T11:49:37,A,,NORMA,0.0,,,,JS1209, ,RS2979, , ,N,Y, ,0.0,2019-02-07T00:00:00.000000, ,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC22555784,2,1,N, ,,2019-05-23T15:09:12,2013-06-26T18:20:43,D,,NORMA,0.0,,,,NJ3746, ,SYSTEM, , , ,Y, ,0.0,2019-05-23T00:00:00.000000,A,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC36895435,2,1,N, ,,2019-09-09T23:28:16,2013-06-26T17:45:25,D,,NORMA,0.0,,,,FINADMIN, ,SYSTEM, , , ,Y, ,0.0,2019-09-09T00:00:00.000000,A,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,2019-09-09T00:00:00.000000,,2024-08-07 06:42:03.096
AC62753454,3,1,N, ,,2019-09-29T22:24:42,2019-02-06T19:03:24,D,,NORMA,0.0,,,,FINADMIN, ,UP2097, , ,N,Y, ,0.0,2019-09-29T00:00:00.000000,A,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,2019-09-29T00:00:00.000000,,2024-08-07 06:42:03.096
AC59814795,3,1,N, ,,2019-11-07T21:31:54,2019-02-06T17:21:32,D,,NORMA,0.0,,,,FINADMIN, ,UP2097, , ,N,Y, ,0.0,2019-11-07T00:00:00.000000,A,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,2019-11-07T00:00:00.000000,,2024-08-07 06:42:03.096
AC44557939,3,1,N, ,,2020-01-17T19:20:53,2019-02-06T19:18:43,D,,NORMA,0.0,,,,FINADMIN, ,KP2255, , ,N,Y, ,0.0,2020-01-17T00:00:00.000000,A,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,2020-01-17T00:00:00.000000,,2024-08-07 06:42:03.096
AC68746394,2,1,N, ,,2020-08-02T14:43:50,2020-07-29T17:59:06,A,,NORMA,0.0,,,,ABHISHEKS, ,FIVUSR, , ,N,Y, ,0.0,2020-07-29T00:00:00.000000, ,,,,2500000.0,CFOL-101865,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
