acid,eod_date,tran_date_bal,tran_date_tot_tran,value_date_bal,value_date_tot_tran,end_eod_date,lchg_user_id,lchg_time,rcre_user_id,rcre_time,ts_cnt,eab_crncy_code,bank_id,last_pstd_srl_num,last_tran_sequence_num,tran_count,updated_at,year,month,day
AC90312813,2024-02-04 00:00:00.0,202248.7,0.0,202248.7,0.0,2024-02-11 00:00:00.0,FINADMIN,2024-02-13 02:08:55.0,FINADMIN,2024-02-04 23:18:37.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,4
AC50755170,2024-02-01 00:00:00.0,26572.44,0.0,26572.44,0.0,2024-02-01 00:00:00.0,FINADMIN,2024-02-02 22:16:09.0,FINADMIN,2024-02-02 00:11:57.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,1
AC50755170,2024-06-01 00:00:00.0,26586.2,0.0,26586.2,0.0,2024-06-01 00:00:00.0,SYSTEM,2024-06-02 19:41:37.0,SYSTEM,2024-05-31 21:39:26.0,2,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,6,1
AC38803203,2024-04-01 00:00:00.0,423183.63,348542.0,423183.63,348542.0,2024-04-01 00:00:00.0,FINADMIN,2024-04-02 23:53:50.0,FINADMIN,2024-04-02 00:27:42.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,4,1
AC73089441,2024-06-01 00:00:00.0,10000.0,0.0,10000.0,0.0,2024-06-01 00:00:00.0,SYSTEM,2024-06-02 19:41:31.0,SYSTEM,2024-05-31 21:39:25.0,2,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,6,1
AC88509103,2024-02-01 00:00:00.0,329525.0,99025.0,329525.0,99025.0,2024-02-01 00:00:00.0,FINADMIN,2024-02-02 22:15:56.0,FINADMIN,2024-02-02 00:11:34.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,1
AC88509103,2024-03-01 00:00:00.0,458548.37,37375.0,458548.37,37375.0,2024-03-02 00:00:00.0,FINADMIN,2024-03-04 00:19:02.0,FINADMIN,2024-03-01 23:12:57.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,3,1
AC88509103,2024-05-02 00:00:00.0,325749.0,62590.0,326469.03,62590.0,2024-05-02 00:00:00.0,SYSTEM,2024-06-04 15:02:07.0,SYSTEM,2024-05-02 18:20:01.0,3,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,5,2
AC88509103,2024-06-02 00:00:00.0,100000.0,-292220.0,100720.03,-292220.0,2024-06-02 00:00:00.0,SYSTEM,2024-06-04 15:02:07.0,SYSTEM,2024-06-02 19:41:51.0,3,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,6,2
AC47937992,2024-03-01 00:00:00.0,0.0,0.0,0.0,0.0,2024-03-01 00:00:00.0,FINADMIN,2024-03-02 21:51:00.0,FINADMIN,2024-03-01 23:12:10.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,3,1
AC47937992,2024-04-01 00:00:00.0,0.0,0.0,0.0,0.0,2024-04-01 00:00:00.0,FINADMIN,2024-04-02 23:52:52.0,FINADMIN,2024-04-02 00:26:42.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,4,1
AC95724234,2024-05-24 00:00:00.0,20000000.0,20000000.0,20000000.0,20000000.0,2099-12-31 00:00:00.0,FINADMIN,2024-05-24 23:09:29.0,FINADMIN,2024-05-24 23:09:29.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,5,24
AC72445976,2024-02-01 00:00:00.0,10643.74,0.0,10643.74,0.0,2024-02-01 00:00:00.0,FINADMIN,2024-02-02 22:16:09.0,FINADMIN,2024-02-02 00:11:42.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,1
AC78639780,2024-06-01 00:00:00.0,0.0,0.0,0.0,0.0,2024-06-01 00:00:00.0,SYSTEM,2024-06-02 19:42:15.0,SYSTEM,2024-05-31 21:39:30.0,2,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,6,1
AC48358592,2024-02-03 00:00:00.0,455.97,0.0,455.97,0.0,2024-02-04 00:00:00.0,FINADMIN,2024-02-07 00:39:50.0,FINADMIN,2024-02-03 21:33:38.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,3
AC64920564,2024-02-01 00:00:00.0,100841.41,-116.0,100841.41,-116.0,2024-02-01 00:00:00.0,FINADMIN,2024-02-02 22:15:29.0,FINADMIN,2024-02-02 00:10:42.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,2,1
AC64920564,2024-06-02 00:00:00.0,1396.49,-16728.0,1396.49,-16728.0,2024-06-02 00:00:00.0,SYSTEM,2024-06-03 17:22:05.0,SYSTEM,2024-06-02 19:42:24.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,6,2
AC38603772,2024-05-01 00:00:00.0,10974291.06,-6098191.0,10974291.06,-6098191.0,2024-05-01 00:00:00.0,SYSTEM,2024-05-02 15:05:04.0,SYSTEM,2024-05-01 15:03:56.0,2,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,5,1
AC55917569,2024-03-01 00:00:00.0,10000.0,0.0,10000.0,0.0,2024-03-01 00:00:00.0,FINADMIN,2024-03-02 21:51:05.0,FINADMIN,2024-03-01 23:12:27.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,3,1
AC55917569,2024-05-01 00:00:00.0,10000.0,0.0,10000.0,0.0,2024-05-01 00:00:00.0,SYSTEM,2024-05-02 15:05:02.0,SYSTEM,2024-05-01 15:03:55.0,2,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,5,1
AC36353590,2024-04-01 00:00:00.0,14073.81,-9738.0,14073.81,-9738.0,2024-04-01 00:00:00.0,FINADMIN,2024-04-02 23:53:51.0,FINADMIN,2024-04-02 00:27:43.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,4,1
AC36353590,2024-05-02 00:00:00.0,22644.46,1100.0,22644.46,1100.0,2024-05-02 00:00:00.0,SYSTEM,2024-05-03 15:06:44.0,SYSTEM,2024-05-02 17:48:20.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,5,2
AC67171098,2024-01-16 00:00:00.0,9823.28,-90.0,9823.28,-90.0,2024-01-17 00:00:00.0,FINADMIN,2024-01-19 04:20:44.0,FINADMIN,2024-01-17 02:06:04.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,1,16
AC67171098,2024-05-01 00:00:00.0,5009489.49,5940.0,5009489.49,5940.0,2024-05-01 00:00:00.0,SYSTEM,2024-05-02 15:05:06.0,SYSTEM,2024-05-01 15:03:58.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,5,1
AC82508087,2024-05-07 00:00:00.0,530495.95,-15000.0,530495.95,-15000.0,2024-06-30 00:00:00.0,SYSTEM,2024-07-01 15:01:38.0,FINADMIN,2024-05-08 00:13:23.0,1,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,5,7
AC11006910,2024-01-19 00:00:00.0,0.0,-590000.0,0.0,-590000.0,2024-01-19 00:00:00.0,FINADMIN,2024-01-20 01:53:32.0,FINADMIN,2024-01-20 01:53:32.0,0,NPR,1,0,0,0,2024-07-30 11:45:30.870,2024,1,19
