acid,ts_cnt,adj_amt,bank_id,del_flg,srl_num,tran_id,adj_date,dmd_date,shdl_num,lchg_time,rcre_time,tran_date,dmd_flow_id,dmd_srl_num,lchg_user_id,rcre_user_id,oflow_adj_flg,waiver_record,waiver_srl_num,part_tran_srl_num,updated_at
AC84692100,0,12306.85,1,N,1,S21514505,2024-08-01T00:00:00.000000,2024-08-01T00:00:00.000000,1,2024-08-01T22:50:55,2024-08-01T22:50:55,2024-08-01T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,40,2024-08-29 05:00:13.784
AC84517231,0,36837.99,1,N,1,S21514531,2024-08-01T00:00:00.000000,2024-08-01T00:00:00.000000,4,2024-08-01T22:50:58,2024-08-01T22:50:58,2024-08-01T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,16,2024-08-29 05:00:13.784
AC38297548,0,15152.66,1,N,1,S21514563,2024-08-01T00:00:00.000000,2024-08-01T00:00:00.000000,3,2024-08-01T22:51:01,2024-08-01T22:51:01,2024-08-01T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,48,2024-08-29 05:00:13.784
AC30759555,0,23.3,1,N,1,S21525566,2024-08-01T00:00:00.000000,2024-08-01T00:00:00.000000,3,2024-08-01T23:03:37,2024-08-01T23:03:37,2024-08-01T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,80,2024-08-29 05:00:13.784
AC68768599,0,143.65,1,N,1,S21525582,2024-08-01T00:00:00.000000,2024-08-01T00:00:00.000000,1,2024-08-01T23:03:38,2024-08-01T23:03:38,2024-08-01T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,22,2024-08-29 05:00:13.784
AC81589306,0,14664.7,1,N,1,S21526281,2024-08-01T00:00:00.000000,2024-08-01T00:00:00.000000,3,2024-08-01T23:04:53,2024-08-01T23:04:53,2024-08-01T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,54,2024-08-29 05:00:13.784
AC81589306,0,9004.61,1,N,1,S21526490,2024-08-01T00:00:00.000000,2024-08-01T00:00:00.000000,3,2024-08-01T23:05:15,2024-08-01T23:05:15,2024-08-01T00:00:00.000000,PRDEM,1,SYSTEM,SYSTEM, , ,,48,2024-08-29 05:00:13.784
AC45209543,0,124.15,1,N,1,S21532993,2024-08-01T00:00:00.000000,2024-08-01T00:00:00.000000,4,2024-08-01T23:15:03,2024-08-01T23:15:03,2024-08-01T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,14,2024-08-29 05:00:13.784
AC15071859,0,55.7,1,N,1,S21547395,2024-08-01T00:00:00.000000,2024-08-01T00:00:00.000000,3,2024-08-01T23:31:54,2024-08-01T23:31:54,2024-08-01T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,18,2024-08-29 05:00:13.784
AC45914738,0,2114.42,1,N,1,S21547413,2024-08-01T00:00:00.000000,2024-08-01T00:00:00.000000,3,2024-08-01T23:31:58,2024-08-01T23:31:58,2024-08-01T00:00:00.000000,INDEM,1,SYSTEM,SYSTEM, , ,,12,2024-08-29 05:00:13.784
